"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,0,0,36,-0.528139514129225,36,1,0.499999986111112,"AddModuleScore","WP",TRUE,"gmm_dist_dual"
"B-cells","B intermediate lambda",0,0,0,166,-0.599953049386249,166,1,0.499999996987952,"AddModuleScore","WP",TRUE,"gmm_dist_dual"
"B-cells","B memory kappa",0,0,1,44,-0.483435543600922,45,0.977777777777778,0.499999988636364,"AddModuleScore","WP",TRUE,"gmm_dist_dual"
"B-cells","B memory lambda",0,0,0,34,-0.507112447788094,34,1,0.499999985294118,"AddModuleScore","WP",TRUE,"gmm_dist_dual"
"B-cells","B naive kappa",0,0,1,247,-0.637364965004525,248,0.995967741935484,0.499999997975708,"AddModuleScore","WP",TRUE,"gmm_dist_dual"
"B-cells","B naive lambda",0,0,0,20,-0.512509202574248,20,1,0.499999975000001,"AddModuleScore","WP",TRUE,"gmm_dist_dual"
"B-cells","Plasma",0,0,0,1,-0.0719057181440698,1,1,0.4999995000005,"AddModuleScore","WP",TRUE,"gmm_dist_dual"
"Classical-Monocytes","CD14 Mono",11459,55,21671,132,0.636855622606511,33317,0.347900471230903,0.525881108172911,"AddModuleScore","WP",TRUE,"gmm_dist_dual"
"Classical-Monocytes","CD16 Mono",148,2,338,4,0.459093257116348,492,0.308943089430894,0.485596651950085,"AddModuleScore","WP",TRUE,"gmm_dist_dual"
"Classical-Monocytes","Doublet",44,0,96,0,0.551926872204634,140,0.314285714285714,0.157142856020408,"AddModuleScore","WP",TRUE,"gmm_dist_dual"
"Classical-Monocytes","Eryth",2,0,9,0,0.36314912683548,11,0.181818181818182,0.0909090826446289,"AddModuleScore","WP",TRUE,"gmm_dist_dual"
"Classical-Monocytes","HSPC",0,0,1,0,-0.599647714809892,1,0,0,"AddModuleScore","WP",TRUE,"gmm_dist_dual"
"Classical-Monocytes","Platelet",17,0,45,0,6.59733258474969,62,0.274193548387097,0.13709677198231,"AddModuleScore","WP",TRUE,"gmm_dist_dual"
"Classical-Monocytes","cDC1",0,0,3,0,-0.447025331571517,3,0,0,"AddModuleScore","WP",TRUE,"gmm_dist_dual"
"Classical-Monocytes","cDC2_1",36,0,129,0,0.200198494578438,165,0.218181818181818,0.109090908429752,"AddModuleScore","WP",TRUE,"gmm_dist_dual"
"Classical-Monocytes","cDC2_2",0,0,44,0,-0.656320505048003,44,0,0,"AddModuleScore","WP",TRUE,"gmm_dist_dual"
"Classical-Monocytes","pDC",0,0,5,0,-0.091284796846117,5,0,0,"AddModuleScore","WP",TRUE,"gmm_dist_dual"
"DCs","ASDC_mDC",0,0,0,1,-0.771956836771263,1,1,0.4999995000005,"AddModuleScore","WP",TRUE,"gmm_dist_dual"
"DCs","CD14 Mono",27,1,81,8,0.276473047624771,117,0.299145299145299,0.569444393904327,"AddModuleScore","WP",TRUE,"gmm_dist_dual"
"DCs","CD16 Mono",6,0,59,5,-0.221405904229928,70,0.157142857142857,0.546153745443807,"AddModuleScore","WP",TRUE,"gmm_dist_dual"
"DCs","CD4 CTL",0,0,3,2,-0.32418796243869,5,0.4,0.499999750000125,"AddModuleScore","WP",TRUE,"gmm_dist_dual"
"DCs","CD4 Naive",0,0,19,21,-0.469079082030389,40,0.525,0.499999976190477,"AddModuleScore","WP",TRUE,"gmm_dist_dual"
"DCs","CD4 TCM_1",0,0,14,15,-0.49625176236219,29,0.517241379310345,0.499999966666669,"AddModuleScore","WP",TRUE,"gmm_dist_dual"
"DCs","CD4 TCM_2",0,0,3,2,-0.65857799613977,5,0.4,0.499999750000125,"AddModuleScore","WP",TRUE,"gmm_dist_dual"
"DCs","CD4 TCM_3",0,0,17,5,-0.483377226764379,22,0.227272727272727,0.49999990000002,"AddModuleScore","WP",TRUE,"gmm_dist_dual"
"DCs","CD4 TEM_1",0,0,1,2,-0.295920465721371,3,0.666666666666667,0.499999750000125,"AddModuleScore","WP",TRUE,"gmm_dist_dual"
"DCs","CD4 TEM_3",0,0,5,3,-0.271243417665862,8,0.375,0.499999833333389,"AddModuleScore","WP",TRUE,"gmm_dist_dual"
"DCs","CD8 Naive",0,0,29,15,-0.502518911270549,44,0.340909090909091,0.499999966666669,"AddModuleScore","WP",TRUE,"gmm_dist_dual"
"DCs","CD8 Naive_2",0,0,0,1,-0.633799001682116,1,1,0.4999995000005,"AddModuleScore","WP",TRUE,"gmm_dist_dual"
"DCs","CD8 Proliferating",0,0,1,0,0.0347269430339259,1,0,0,"AddModuleScore","WP",TRUE,"gmm_dist_dual"
"DCs","CD8 TCM_1",0,0,0,2,-0.0604545207418254,2,1,0.499999750000125,"AddModuleScore","WP",TRUE,"gmm_dist_dual"
"DCs","CD8 TCM_2",0,0,2,2,-0.405926312975891,4,0.5,0.499999750000125,"AddModuleScore","WP",TRUE,"gmm_dist_dual"
"DCs","CD8 TCM_3",0,0,2,1,-0.133371150944871,3,0.333333333333333,0.4999995000005,"AddModuleScore","WP",TRUE,"gmm_dist_dual"
"DCs","CD8 TEM_1",0,0,7,2,-0.114424747963417,9,0.222222222222222,0.499999750000125,"AddModuleScore","WP",TRUE,"gmm_dist_dual"
"DCs","CD8 TEM_2",0,0,2,0,0.134284962890349,2,0,0,"AddModuleScore","WP",TRUE,"gmm_dist_dual"
"DCs","CD8 TEM_4",0,0,2,5,-0.0610400596168868,7,0.714285714285714,0.49999990000002,"AddModuleScore","WP",TRUE,"gmm_dist_dual"
"DCs","CD8 TEM_5",0,0,1,0,0.166904221192978,1,0,0,"AddModuleScore","WP",TRUE,"gmm_dist_dual"
"DCs","Doublet",10,0,6,1,1.07485803237009,17,0.647058823529412,0.812499480469251,"AddModuleScore","WP",TRUE,"gmm_dist_dual"
"DCs","HSPC",0,0,1,0,-0.545125294708145,1,0,0,"AddModuleScore","WP",TRUE,"gmm_dist_dual"
"DCs","MAIT",0,0,3,0,-0.33248112309151,3,0,0,"AddModuleScore","WP",TRUE,"gmm_dist_dual"
"DCs","NK Proliferating",0,0,1,0,-0.0393653769836024,1,0,0,"AddModuleScore","WP",TRUE,"gmm_dist_dual"
"DCs","NK_1",0,0,0,1,-0.046289354235759,1,1,0.4999995000005,"AddModuleScore","WP",TRUE,"gmm_dist_dual"
"DCs","NK_2",0,0,1,0,-0.0842294122891153,1,0,0,"AddModuleScore","WP",TRUE,"gmm_dist_dual"
