"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,0,0,28,-0.406002282989662,28,1,0.499999982142858,"AddModuleScore","WP",TRUE,"youden"
"B-cells","B intermediate lambda",0,0,0,142,-0.517305272091446,142,1,0.499999996478873,"AddModuleScore","WP",TRUE,"youden"
"B-cells","B memory kappa",0,0,0,35,-0.398876728654268,35,1,0.499999985714286,"AddModuleScore","WP",TRUE,"youden"
"B-cells","B memory lambda",0,0,0,30,-0.385020906197922,30,1,0.499999983333334,"AddModuleScore","WP",TRUE,"youden"
"B-cells","B naive kappa",0,0,1,204,-0.479259919777823,205,0.995121951219512,0.49999999754902,"AddModuleScore","WP",TRUE,"youden"
"B-cells","B naive lambda",0,0,0,15,-0.433776004163123,15,1,0.499999966666669,"AddModuleScore","WP",TRUE,"youden"
"B-cells","Plasma",0,0,0,2,-0.192147968317431,2,1,0.499999750000125,"AddModuleScore","WP",TRUE,"youden"
"Classical-Monocytes","CD14 Mono",9528,47,16040,102,0.439799901653527,25717,0.374460473616674,0.528608535213053,"AddModuleScore","WP",TRUE,"youden"
"Classical-Monocytes","CD16 Mono",54,1,233,5,0.0181123200433112,293,0.201365187713311,0.510743251946705,"AddModuleScore","WP",TRUE,"youden"
"Classical-Monocytes","Doublet",44,0,65,0,0.460274438122489,109,0.403669724770642,0.201834860533625,"AddModuleScore","WP",TRUE,"youden"
"Classical-Monocytes","HSPC",0,0,1,0,-0.465326575603067,1,0,0,"AddModuleScore","WP",TRUE,"youden"
"Classical-Monocytes","Platelet",59,0,0,0,7.48903457846243,59,1,0.499999991525424,"AddModuleScore","WP",TRUE,"youden"
"Classical-Monocytes","cDC1",0,0,2,0,-0.318396020137864,2,0,0,"AddModuleScore","WP",TRUE,"youden"
"Classical-Monocytes","cDC2_1",6,0,81,0,-0.254278736807253,87,0.0689655172413793,0.0344827582243361,"AddModuleScore","WP",TRUE,"youden"
"Classical-Monocytes","cDC2_2",0,0,25,0,-0.527722221425541,25,0,0,"AddModuleScore","WP",TRUE,"youden"
"Classical-Monocytes","pDC",1,0,4,0,-0.0594829514466981,5,0.2,0.099999980000004,"AddModuleScore","WP",TRUE,"youden"
"DCs","ASDC_mDC",0,0,0,1,-0.71491726059945,1,1,0.4999995000005,"AddModuleScore","WP",TRUE,"youden"
"DCs","CD14 Mono",34,2,51,7,0.263234029014051,94,0.436170212765957,0.588888843326076,"AddModuleScore","WP",TRUE,"youden"
"DCs","CD16 Mono",7,0,44,3,-0.210014644329077,54,0.185185185185185,0.568627282968145,"AddModuleScore","WP",TRUE,"youden"
"DCs","CD4 CTL",0,0,0,2,-0.181046238070398,2,1,0.499999750000125,"AddModuleScore","WP",TRUE,"youden"
"DCs","CD4 Naive",0,0,12,16,-0.320856616481226,28,0.571428571428571,0.499999968750002,"AddModuleScore","WP",TRUE,"youden"
"DCs","CD4 TCM_1",0,0,9,11,-0.36354772755417,20,0.55,0.499999954545459,"AddModuleScore","WP",TRUE,"youden"
"DCs","CD4 TCM_2",0,0,5,5,-0.455466132894084,10,0.5,0.49999990000002,"AddModuleScore","WP",TRUE,"youden"
"DCs","CD4 TCM_3",0,0,13,4,-0.3483470405331,17,0.235294117647059,0.499999875000031,"AddModuleScore","WP",TRUE,"youden"
"DCs","CD4 TEM_1",0,0,1,1,-0.117704296862318,2,0.5,0.4999995000005,"AddModuleScore","WP",TRUE,"youden"
"DCs","CD4 TEM_3",0,0,5,2,-0.0992748721027504,7,0.285714285714286,0.499999750000125,"AddModuleScore","WP",TRUE,"youden"
"DCs","CD8 Naive",0,0,22,14,-0.371734004486665,36,0.388888888888889,0.499999964285717,"AddModuleScore","WP",TRUE,"youden"
"DCs","CD8 Naive_2",0,0,1,1,-0.396634047607187,2,0.5,0.4999995000005,"AddModuleScore","WP",TRUE,"youden"
"DCs","CD8 Proliferating",0,0,2,0,-0.248401856054593,2,0,0,"AddModuleScore","WP",TRUE,"youden"
"DCs","CD8 TCM_1",0,1,0,1,0.127063043046393,2,0.5,0.249999875000062,"AddModuleScore","WP",TRUE,"youden"
"DCs","CD8 TCM_2",0,0,2,1,-0.189245916944416,3,0.333333333333333,0.4999995000005,"AddModuleScore","WP",TRUE,"youden"
"DCs","CD8 TCM_3",0,0,2,1,-0.0208836698946786,3,0.333333333333333,0.4999995000005,"AddModuleScore","WP",TRUE,"youden"
"DCs","CD8 TEM_1",0,0,5,2,0.00524002038266848,7,0.285714285714286,0.499999750000125,"AddModuleScore","WP",TRUE,"youden"
"DCs","CD8 TEM_2",0,0,2,0,0.0971776029347867,2,0,0,"AddModuleScore","WP",TRUE,"youden"
"DCs","CD8 TEM_4",0,0,2,2,0.000351703232187865,4,0.5,0.499999750000125,"AddModuleScore","WP",TRUE,"youden"
"DCs","CD8 TEM_5",0,0,1,0,0.180514025555613,1,0,0,"AddModuleScore","WP",TRUE,"youden"
"DCs","Doublet",13,0,2,1,1.20665215089882,16,0.875,0.933332804444946,"AddModuleScore","WP",TRUE,"youden"
"DCs","HSPC",0,0,1,0,-0.342461796000196,1,0,0,"AddModuleScore","WP",TRUE,"youden"
"DCs","MAIT",0,0,2,0,-0.0600033240734247,2,0,0,"AddModuleScore","WP",TRUE,"youden"
"DCs","NK Proliferating",0,0,1,0,-0.458293407282405,1,0,0,"AddModuleScore","WP",TRUE,"youden"
"DCs","NK_1",0,0,0,1,0.123204862607218,1,1,0.4999995000005,"AddModuleScore","WP",TRUE,"youden"
"DCs","NK_3",1,0,0,0,0.291149615632484,1,1,0.4999995000005,"AddModuleScore","WP",TRUE,"youden"
"DCs","NK_CD56bright",0,0,0,1,-0.287319908534013,1,1,0.4999995000005,"AddModuleScore","WP",TRUE,"youden"
"DCs","Platelet",15,2,0,0,8.25094866616685,17,0.882352941176471,0.499999966666669,"AddModuleScore","WP",TRUE,"youden"
"DCs","Treg Memory",0,0,2,0,-0.453096176907391,2,0,0,"AddModuleScore","WP",TRUE,"youden"
"DCs","Treg Naive",0,0,3,1,-0.363279876357484,4,0.25,0.4999995000005,"AddModuleScore","WP",TRUE,"youden"
"DCs","cDC2_1",0,0,8,0,-0.422745382436133,8,0,0,"AddModuleScore","WP",TRUE,"youden"
"DCs","cDC2_2",0,0,12,3,-0.468080154211015,15,0.2,0.499999833333389,"AddModuleScore","WP",TRUE,"youden"
"DCs","dnT_2",0,0,1,0,-0.327835429777705,1,0,0,"AddModuleScore","WP",TRUE,"youden"
"DCs","gdT_1",0,0,1,0,-0.0799830958333447,1,0,0,"AddModuleScore","WP",TRUE,"youden"
"DCs","gdT_2",0,0,0,1,-0.0164085966784865,1,1,0.4999995000005,"AddModuleScore","WP",TRUE,"youden"
"DCs","gdT_3",0,0,0,1,-0.463887017974955,1,1,0.4999995000005,"AddModuleScore","WP",TRUE,"youden"
"DCs","pDC",0,0,2,0,-0.604567244027388,2,0,0,"AddModuleScore","WP",TRUE,"youden"
"Early-NK-cells","CD16 Mono",0,0,0,5,-0.252727957382801,5,1,0.49999990000002,"AddModuleScore","WP",TRUE,"youden"
"Early-NK-cells","CD4 Naive",0,0,0,1,-0.385160355828246,1,1,0.4999995000005,"AddModuleScore","WP",TRUE,"youden"
"Early-NK-cells","CD4 TCM_1",0,0,0,1,-0.3223156422931,1,1,0.4999995000005,"AddModuleScore","WP",TRUE,"youden"
"Early-NK-cells","CD8 TEM_1",0,0,1,0,0.0569186934677036,1,0,0,"AddModuleScore","WP",TRUE,"youden"
"Early-NK-cells","CD8 TEM_2",0,0,0,2,-0.332455344483593,2,1,0.499999750000125,"AddModuleScore","WP",TRUE,"youden"
"Early-NK-cells","CD8 TEM_4",0,0,0,5,0.133040662364975,5,1,0.49999990000002,"AddModuleScore","WP",TRUE,"youden"
"Early-NK-cells","CD8 TEM_5",0,2,1,13,0.00196319571313104,16,0.8125,0.433333304444446,"AddModuleScore","WP",TRUE,"youden"
"Early-NK-cells","NK Proliferating",0,0,0,21,-0.281713365930096,21,1,0.499999976190477,"AddModuleScore","WP",TRUE,"youden"
"Early-NK-cells","NK_1",0,59,10,490,0.0426909194889716,559,0.876565295169946,0.446265937256346,"AddModuleScore","WP",TRUE,"youden"
"Early-NK-cells","NK_2",0,25,4,186,-0.0511010515118124,215,0.865116279069767,0.440758291749961,"AddModuleScore","WP",TRUE,"youden"
"Early-NK-cells","NK_3",0,3,1,33,-0.012215221555682,37,0.891891891891892,0.458333320601852,"AddModuleScore","WP",TRUE,"youden"
"Early-NK-cells","NK_4",0,1,0,16,0.0180631488258433,17,0.941176470588235,0.470588207612458,"AddModuleScore","WP",TRUE,"youden"
"Early-NK-cells","NK_CD56bright",0,0,0,1,-0.455001529538068,1,1,0.4999995000005,"AddModuleScore","WP",TRUE,"youden"
"Early-NK-cells","gdT_2",0,0,0,1,-0.213515552309539,1,1,0.4999995000005,"AddModuleScore","WP",TRUE,"youden"
"Intermediate-Monocytes","CD14 Mono",178,4,305,10,0.434143871600229,497,0.378269617706237,0.541407841603121,"AddModuleScore","WP",TRUE,"youden"
"Intermediate-Monocytes","CD16 Mono",188,4,1350,19,-0.125492922510867,1561,0.13260730301089,0.47416179576337,"AddModuleScore","WP",TRUE,"youden"
"Intermediate-Monocytes","Doublet",97,0,12,0,1.51469370820995,109,0.889908256880734,0.444954124358219,"AddModuleScore","WP",TRUE,"youden"
"Intermediate-Monocytes","Platelet",2,0,1,0,6.09305854929043,3,0.666666666666667,0.333333222222259,"AddModuleScore","WP",TRUE,"youden"
"Late-NK-cells","ASDC_mDC",0,0,0,7,-0.635775029617535,7,1,0.499999928571439,"AddModuleScore","WP",TRUE,"youden"
"Late-NK-cells","ASDC_pDC",0,0,0,3,-0.595169443633809,3,1,0.499999833333389,"AddModuleScore","WP",TRUE,"youden"
"Late-NK-cells","B intermediate kappa",0,0,0,4,-0.485261533188915,4,1,0.499999875000031,"AddModuleScore","WP",TRUE,"youden"
"Late-NK-cells","B intermediate lambda",0,0,0,1,-0.294163044489516,1,1,0.4999995000005,"AddModuleScore","WP",TRUE,"youden"
"Late-NK-cells","B memory kappa",0,0,0,3,-0.34079702336149,3,1,0.499999833333389,"AddModuleScore","WP",TRUE,"youden"
"Late-NK-cells","B memory lambda",0,0,0,1,-0.380906999698133,1,1,0.4999995000005,"AddModuleScore","WP",TRUE,"youden"
"Late-NK-cells","B naive kappa",0,0,0,1,-0.31952127466725,1,1,0.4999995000005,"AddModuleScore","WP",TRUE,"youden"
"Late-NK-cells","CD14 Mono",1,2,1,2,0.52211951341534,6,0.5,0.499999812500078,"AddModuleScore","WP",TRUE,"youden"
"Late-NK-cells","CD16 Mono",24,6,548,690,-0.324645374098991,1268,0.563091482649842,0.51666867540256,"AddModuleScore","WP",TRUE,"youden"
"Late-NK-cells","CD4 CTL",0,0,0,1,0.0695052030623755,1,1,0.4999995000005,"AddModuleScore","WP",TRUE,"youden"
"Late-NK-cells","CD4 Naive",0,0,0,78,-0.32510722736551,78,1,0.499999993589744,"AddModuleScore","WP",TRUE,"youden"
"Late-NK-cells","CD4 TCM_1",0,0,0,5,-0.40112835623075,5,1,0.49999990000002,"AddModuleScore","WP",TRUE,"youden"
"Late-NK-cells","CD4 TEM_2",0,0,0,1,-0.29844548199093,1,1,0.4999995000005,"AddModuleScore","WP",TRUE,"youden"
"Late-NK-cells","CD8 Naive",0,0,1,241,-0.386977734481147,242,0.995867768595041,0.499999997925311,"AddModuleScore","WP",TRUE,"youden"
"Late-NK-cells","CD8 Naive_2",0,0,0,3,-0.282640553143742,3,1,0.499999833333389,"AddModuleScore","WP",TRUE,"youden"
"Late-NK-cells","CD8 Proliferating",0,0,0,2,-0.439805084729584,2,1,0.499999750000125,"AddModuleScore","WP",TRUE,"youden"
"Late-NK-cells","CD8 TCM_1",0,0,0,5,-0.218247003606073,5,1,0.49999990000002,"AddModuleScore","WP",TRUE,"youden"
"Late-NK-cells","CD8 TCM_2",0,0,0,9,-0.292915162515179,9,1,0.499999944444451,"AddModuleScore","WP",TRUE,"youden"
"Late-NK-cells","CD8 TEM_1",0,2,0,32,-0.0227203845838123,34,0.941176470588235,0.470588221453288,"AddModuleScore","WP",TRUE,"youden"
"Late-NK-cells","CD8 TEM_2",0,4,0,61,0.0173989641011418,65,0.938461538461538,0.469230762011834,"AddModuleScore","WP",TRUE,"youden"
"Late-NK-cells","CD8 TEM_3",0,0,0,8,-0.011925914322154,8,1,0.499999937500008,"AddModuleScore","WP",TRUE,"youden"
"Late-NK-cells","CD8 TEM_4",0,5,1,27,0.0934778263850661,33,0.818181818181818,0.421874986816407,"AddModuleScore","WP",TRUE,"youden"
"Late-NK-cells","CD8 TEM_5",0,8,2,39,0.0876696873679308,49,0.795918367346939,0.414893608193753,"AddModuleScore","WP",TRUE,"youden"
"Late-NK-cells","CD8 TEM_6",0,1,0,64,-0.182899151316244,65,0.984615384615385,0.492307684733728,"AddModuleScore","WP",TRUE,"youden"
"Late-NK-cells","Doublet",11,0,5,0,1.34426684510335,16,0.6875,0.343749978515626,"AddModuleScore","WP",TRUE,"youden"
"Late-NK-cells","HSPC",0,0,1,25,-0.393475433074743,26,0.961538461538462,0.499999980000001,"AddModuleScore","WP",TRUE,"youden"
"Late-NK-cells","ILC",0,1,1,74,-0.352153942578886,76,0.973684210526316,0.493333326755556,"AddModuleScore","WP",TRUE,"youden"
"Late-NK-cells","MAIT",1,1,0,9,-0.071859176388696,11,0.909090909090909,0.949999455000505,"AddModuleScore","WP",TRUE,"youden"
"Late-NK-cells","NK Proliferating",0,4,6,339,-0.360566968745333,349,0.97134670487106,0.494169094769186,"AddModuleScore","WP",TRUE,"youden"
"Late-NK-cells","NK_1",5,206,14,1656,0.0400750649982749,1881,0.883040935672515,0.576262076616853,"AddModuleScore","WP",TRUE,"youden"
"Late-NK-cells","NK_2",4,540,70,6094,-0.0698232750549169,6708,0.909063804412642,0.486327599399316,"AddModuleScore","WP",TRUE,"youden"
"Late-NK-cells","NK_3",1,198,5,1453,0.0479283966262339,1657,0.877489438744719,0.523369660789064,"AddModuleScore","WP",TRUE,"youden"
"Late-NK-cells","NK_4",2,37,9,1100,-0.175793718051569,1148,0.95993031358885,0.574638193916635,"AddModuleScore","WP",TRUE,"youden"
"Late-NK-cells","NK_CD56bright",0,5,7,593,-0.293066834768944,605,0.980165289256198,0.495819397164182,"AddModuleScore","WP",TRUE,"youden"
"Late-NK-cells","Plasma",0,0,0,1,0.23978002140115,1,1,0.4999995000005,"AddModuleScore","WP",TRUE,"youden"
"Late-NK-cells","Plasmablast",0,0,0,1,-0.488272869434625,1,1,0.4999995000005,"AddModuleScore","WP",TRUE,"youden"
"Late-NK-cells","Platelet",2,2,1,2,1.98076406845172,7,0.571428571428571,0.583333159722275,"AddModuleScore","WP",TRUE,"youden"
"Late-NK-cells","Treg Memory",0,0,0,3,-0.215592519803626,3,1,0.499999833333389,"AddModuleScore","WP",TRUE,"youden"
"Late-NK-cells","Treg Naive",0,0,0,10,-0.379875999417762,10,1,0.499999950000005,"AddModuleScore","WP",TRUE,"youden"
"Late-NK-cells","cDC1",0,0,4,1,-0.362176617166869,5,0.2,0.4999995000005,"AddModuleScore","WP",TRUE,"youden"
"Late-NK-cells","cDC2_1",0,0,1,1,-0.340881868030578,2,0.5,0.4999995000005,"AddModuleScore","WP",TRUE,"youden"
"Late-NK-cells","cDC2_2",0,0,30,67,-0.531502639538528,97,0.690721649484536,0.499999992537314,"AddModuleScore","WP",TRUE,"youden"
"Late-NK-cells","dnT_1",0,0,0,3,-0.432061556713772,3,1,0.499999833333389,"AddModuleScore","WP",TRUE,"youden"
"Late-NK-cells","dnT_2",0,0,0,6,-0.444536360228804,6,1,0.499999916666681,"AddModuleScore","WP",TRUE,"youden"
"Late-NK-cells","gdT_1",0,0,0,1,0.227220164153632,1,1,0.4999995000005,"AddModuleScore","WP",TRUE,"youden"
"Late-NK-cells","gdT_2",0,0,0,8,-0.0230758068956674,8,1,0.499999937500008,"AddModuleScore","WP",TRUE,"youden"
"Late-NK-cells","gdT_3",0,2,0,67,-0.313967107733426,69,0.971014492753623,0.485507239340475,"AddModuleScore","WP",TRUE,"youden"
"Late-NK-cells","gdT_4",0,2,0,10,-0.00152768299275812,12,0.833333333333333,0.416666631944447,"AddModuleScore","WP",TRUE,"youden"
"Late-NK-cells","pDC",10,0,289,157,-0.33319797328814,456,0.366228070175439,0.516722404786115,"AddModuleScore","WP",TRUE,"youden"
"Monocytes","ASDC_mDC",0,0,1,0,-0.626154089371294,1,0,0,"AddModuleScore","WP",TRUE,"youden"
"Monocytes","CD14 Mono",56,0,117,1,0.199143668844961,174,0.327586206896552,0.661849210047612,"AddModuleScore","WP",TRUE,"youden"
"Monocytes","CD16 Mono",22,2,31,3,0.391175680565336,58,0.431034482758621,0.507547105895348,"AddModuleScore","WP",TRUE,"youden"
"Monocytes","Doublet",3,0,0,0,1.70116568455964,3,1,0.499999833333389,"AddModuleScore","WP",TRUE,"youden"
"Monocytes","HSPC",0,0,23,0,-0.347824054602378,23,0,0,"AddModuleScore","WP",TRUE,"youden"
"Monocytes","NK Proliferating",0,0,2,0,-0.398138072710184,2,0,0,"AddModuleScore","WP",TRUE,"youden"
"Monocytes","NK_2",0,0,2,0,0.0840179837140378,2,0,0,"AddModuleScore","WP",TRUE,"youden"
"Monocytes","NK_4",0,0,2,0,-0.289887329218454,2,0,0,"AddModuleScore","WP",TRUE,"youden"
"Monocytes","NK_CD56bright",0,0,5,0,-0.447985807784265,5,0,0,"AddModuleScore","WP",TRUE,"youden"
"Monocytes","Platelet",9,0,0,0,8.5825227549814,9,1,0.499999944444451,"AddModuleScore","WP",TRUE,"youden"
"Monocytes","cDC1",0,0,4,0,-0.523085906443541,4,0,0,"AddModuleScore","WP",TRUE,"youden"
"Monocytes","cDC2_1",11,0,63,0,-0.242191758361372,74,0.148648648648649,0.0743243233199416,"AddModuleScore","WP",TRUE,"youden"
"Monocytes","cDC2_2",0,0,289,1,-0.509451372785289,290,0.00344827586206897,0.4999995000005,"AddModuleScore","WP",TRUE,"youden"
"Monocytes","dnT_2",0,0,1,0,-0.549494206685216,1,0,0,"AddModuleScore","WP",TRUE,"youden"
"Monocytes","pDC",1,0,2,0,0.098816831383877,3,0.333333333333333,0.16666661111113,"AddModuleScore","WP",TRUE,"youden"
"Naive-B-cells","B intermediate kappa",0,1,0,325,-0.389531425259607,326,0.996932515337423,0.498466256139674,"AddModuleScore","WP",TRUE,"youden"
"Naive-B-cells","B intermediate lambda",0,1,0,491,-0.3960276294059,492,0.997967479674797,0.498983738823204,"AddModuleScore","WP",TRUE,"youden"
"Naive-B-cells","B memory kappa",0,1,0,369,-0.364094259486132,370,0.997297297297297,0.49864864730095,"AddModuleScore","WP",TRUE,"youden"
"Naive-B-cells","B memory lambda",0,0,0,236,-0.38895536810529,236,1,0.499999997881356,"AddModuleScore","WP",TRUE,"youden"
"Naive-B-cells","B naive kappa",0,4,0,3870,-0.338947789304065,3874,0.998967475477543,0.499483737609839,"AddModuleScore","WP",TRUE,"youden"
"Naive-B-cells","B naive lambda",0,6,0,2481,-0.34875930240793,2487,0.997587454764777,0.498793727181828,"AddModuleScore","WP",TRUE,"youden"
"Naive-B-cells","CD14 Mono",0,1,0,1,1.27805194007612,2,0.5,0.249999875000062,"AddModuleScore","WP",TRUE,"youden"
"Naive-B-cells","CD16 Mono",0,0,0,1,-0.13378472218806,1,1,0.4999995000005,"AddModuleScore","WP",TRUE,"youden"
"Naive-B-cells","Doublet",0,1,0,0,4.69998182676806,1,0,0,"AddModuleScore","WP",TRUE,"youden"
"Naive-B-cells","NK Proliferating",0,0,0,1,-0.41219021531908,1,1,0.4999995000005,"AddModuleScore","WP",TRUE,"youden"
"Naive-B-cells","NK_1",0,3,0,14,0.0894542569682287,17,0.823529411764706,0.411764681660901,"AddModuleScore","WP",TRUE,"youden"
"Naive-B-cells","NK_2",0,0,0,3,-0.273072888211874,3,1,0.499999833333389,"AddModuleScore","WP",TRUE,"youden"
"Naive-B-cells","NK_3",0,0,0,1,-0.164423519123513,1,1,0.4999995000005,"AddModuleScore","WP",TRUE,"youden"
"Naive-B-cells","NK_4",0,0,0,2,-0.314182795411333,2,1,0.499999750000125,"AddModuleScore","WP",TRUE,"youden"
"Naive-B-cells","NK_CD56bright",0,0,0,1,-0.229257678953448,1,1,0.4999995000005,"AddModuleScore","WP",TRUE,"youden"
"Naive-B-cells","Platelet",0,2,0,1,4.3024402099243,3,0.333333333333333,0.16666661111113,"AddModuleScore","WP",TRUE,"youden"
"Neutrophils","CD14 Mono",94,34,86,42,0.752976221847156,256,0.53125,0.537426895498444,"AddModuleScore","WP",TRUE,"youden"
"Neutrophils","Doublet",0,0,3,0,-0.0655743747109706,3,0,0,"AddModuleScore","WP",TRUE,"youden"
"Neutrophils","HSPC",0,0,0,1,-0.138484401233755,1,1,0.4999995000005,"AddModuleScore","WP",TRUE,"youden"
"Neutrophils","NK_1",0,0,0,1,0.259043551665424,1,1,0.4999995000005,"AddModuleScore","WP",TRUE,"youden"
"Neutrophils","NK_2",0,1,0,1,-0.0692933213631683,2,0.5,0.249999875000062,"AddModuleScore","WP",TRUE,"youden"
"Neutrophils","NK_3",0,0,0,1,0.043249111028626,1,1,0.4999995000005,"AddModuleScore","WP",TRUE,"youden"
"Neutrophils","Platelet",3,1,0,0,7.11982278993607,4,0.75,0.499999833333389,"AddModuleScore","WP",TRUE,"youden"
"Non-classical-Monocytes","CD14 Mono",0,1,3,1,0.194134655853429,5,0.2,0.249999875000062,"AddModuleScore","WP",TRUE,"youden"
"Non-classical-Monocytes","CD16 Mono",134,5,806,135,-0.141366701251436,1080,0.249074074074074,0.553419449367834,"AddModuleScore","WP",TRUE,"youden"
"Non-classical-Monocytes","Doublet",31,0,11,0,1.53170329762856,42,0.738095238095238,0.369047610260771,"AddModuleScore","WP",TRUE,"youden"
"Non-classical-Monocytes","NK Proliferating",0,0,0,1,-0.285542495046434,1,1,0.4999995000005,"AddModuleScore","WP",TRUE,"youden"
"Non-classical-Monocytes","NK_1",0,0,0,2,0.0460270130530512,2,1,0.499999750000125,"AddModuleScore","WP",TRUE,"youden"
"Non-classical-Monocytes","NK_2",0,1,0,15,0.0128774318461029,16,0.9375,0.468749970703127,"AddModuleScore","WP",TRUE,"youden"
"Non-classical-Monocytes","Platelet",1,0,0,0,8.90374198040102,1,1,0.4999995000005,"AddModuleScore","WP",TRUE,"youden"
"Non-classical-Monocytes","pDC",0,0,2,0,-0.403648749600688,2,0,0,"AddModuleScore","WP",TRUE,"youden"
"T-cells-CD4","ASDC_mDC",0,0,0,1,-0.749581449400938,1,1,0.4999995000005,"AddModuleScore","WP",TRUE,"youden"
"T-cells-CD4","CD14 Mono",0,0,1,5,-0.295631879942124,6,0.833333333333333,0.49999990000002,"AddModuleScore","WP",TRUE,"youden"
"T-cells-CD4","CD16 Mono",0,0,0,5,-0.450306336699239,5,1,0.49999990000002,"AddModuleScore","WP",TRUE,"youden"
"T-cells-CD4","CD4 CTL",5,114,36,1159,0.0359946865622247,1314,0.885844748858447,0.516199488508303,"AddModuleScore","WP",TRUE,"youden"
"T-cells-CD4","CD4 Naive",0,5,20,15053,-0.345890616211786,15078,0.998341955166468,0.49983397526233,"AddModuleScore","WP",TRUE,"youden"
