"celltype_clean","celltype.l3","celltype.l1","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa","B",0,0,0,36,-0.528139514129225,36,1,0.499999986111112,"AddModuleScore","WP",TRUE,"youden_dual"
"B-cells","B intermediate lambda","B",0,1,0,165,-0.599953049386249,166,0.993975903614458,0.496987948813326,"AddModuleScore","WP",TRUE,"youden_dual"
"B-cells","B memory kappa","B",0,0,1,44,-0.483435543600922,45,0.977777777777778,0.499999988636364,"AddModuleScore","WP",TRUE,"youden_dual"
"B-cells","B memory lambda","B",0,0,0,34,-0.507112447788094,34,1,0.499999985294118,"AddModuleScore","WP",TRUE,"youden_dual"
"B-cells","B naive kappa","B",0,0,1,247,-0.637364965004525,248,0.995967741935484,0.499999997975708,"AddModuleScore","WP",TRUE,"youden_dual"
"B-cells","B naive lambda","B",0,0,0,20,-0.512509202574248,20,1,0.499999975000001,"AddModuleScore","WP",TRUE,"youden_dual"
"B-cells","Plasma","B",0,0,0,1,-0.0719057181440698,1,1,0.4999995000005,"AddModuleScore","WP",TRUE,"youden_dual"
"Classical-Monocytes","CD14 Mono","Mono",28072,153,5058,34,0.636855622606511,33317,0.843593360746766,0.514573442960716,"AddModuleScore","WP",TRUE,"youden_dual"
"Classical-Monocytes","CD16 Mono","Mono",389,6,97,0,0.459093257116348,492,0.790650406504065,0.400205760493404,"AddModuleScore","WP",TRUE,"youden_dual"
"Classical-Monocytes","Doublet","other",121,0,19,0,0.551926872204634,140,0.864285714285714,0.432142854056122,"AddModuleScore","WP",TRUE,"youden_dual"
"Classical-Monocytes","Eryth","other",9,0,2,0,0.36314912683548,11,0.818181818181818,0.40909087190083,"AddModuleScore","WP",TRUE,"youden_dual"
"Classical-Monocytes","HSPC","other",0,0,1,0,-0.599647714809892,1,0,0,"AddModuleScore","WP",TRUE,"youden_dual"
"Classical-Monocytes","Platelet","other",18,0,44,0,6.59733258474969,62,0.290322580645161,0.14516128798127,"AddModuleScore","WP",TRUE,"youden_dual"
"Classical-Monocytes","cDC1","DC",0,0,3,0,-0.447025331571517,3,0,0,"AddModuleScore","WP",TRUE,"youden_dual"
"Classical-Monocytes","cDC2_1","DC",61,0,104,0,0.200198494578438,165,0.36969696969697,0.184848483728191,"AddModuleScore","WP",TRUE,"youden_dual"
"Classical-Monocytes","cDC2_2","DC",0,0,44,0,-0.656320505048003,44,0,0,"AddModuleScore","WP",TRUE,"youden_dual"
"Classical-Monocytes","pDC","DC",0,0,5,0,-0.091284796846117,5,0,0,"AddModuleScore","WP",TRUE,"youden_dual"
"DCs","ASDC_mDC","DC",0,0,0,1,-0.771956836771263,1,1,0.4999995000005,"AddModuleScore","WP",TRUE,"youden_dual"
"DCs","CD14 Mono","Mono",71,6,37,3,0.276473047624771,117,0.632478632478632,0.495370348808301,"AddModuleScore","WP",TRUE,"youden_dual"
"DCs","CD16 Mono","Mono",43,3,22,2,-0.221405904229928,70,0.642857142857143,0.530769185680481,"AddModuleScore","WP",TRUE,"youden_dual"
"DCs","CD4 CTL","CD4 T",0,0,3,2,-0.32418796243869,5,0.4,0.499999750000125,"AddModuleScore","WP",TRUE,"youden_dual"
"DCs","CD4 Naive","CD4 T",0,0,19,21,-0.469079082030389,40,0.525,0.499999976190477,"AddModuleScore","WP",TRUE,"youden_dual"
"DCs","CD4 TCM_1","CD4 T",0,0,14,15,-0.49625176236219,29,0.517241379310345,0.499999966666669,"AddModuleScore","WP",TRUE,"youden_dual"
"DCs","CD4 TCM_2","CD4 T",0,0,3,2,-0.65857799613977,5,0.4,0.499999750000125,"AddModuleScore","WP",TRUE,"youden_dual"
"DCs","CD4 TCM_3","CD4 T",0,0,17,5,-0.483377226764379,22,0.227272727272727,0.49999990000002,"AddModuleScore","WP",TRUE,"youden_dual"
"DCs","CD4 TEM_1","CD4 T",0,0,1,2,-0.295920465721371,3,0.666666666666667,0.499999750000125,"AddModuleScore","WP",TRUE,"youden_dual"
"DCs","CD4 TEM_3","CD4 T",0,0,5,3,-0.271243417665862,8,0.375,0.499999833333389,"AddModuleScore","WP",TRUE,"youden_dual"
"DCs","CD8 Naive","CD8 T",0,0,29,15,-0.502518911270549,44,0.340909090909091,0.499999966666669,"AddModuleScore","WP",TRUE,"youden_dual"
"DCs","CD8 Naive_2","CD8 T",0,0,0,1,-0.633799001682116,1,1,0.4999995000005,"AddModuleScore","WP",TRUE,"youden_dual"
"DCs","CD8 Proliferating","CD8 T",0,0,1,0,0.0347269430339259,1,0,0,"AddModuleScore","WP",TRUE,"youden_dual"
"DCs","CD8 TCM_1","CD8 T",0,0,0,2,-0.0604545207418254,2,1,0.499999750000125,"AddModuleScore","WP",TRUE,"youden_dual"
"DCs","CD8 TCM_2","CD8 T",0,0,2,2,-0.405926312975891,4,0.5,0.499999750000125,"AddModuleScore","WP",TRUE,"youden_dual"
"DCs","CD8 TCM_3","CD8 T",0,0,2,1,-0.133371150944871,3,0.333333333333333,0.4999995000005,"AddModuleScore","WP",TRUE,"youden_dual"
"DCs","CD8 TEM_1","CD8 T",0,0,7,2,-0.114424747963417,9,0.222222222222222,0.499999750000125,"AddModuleScore","WP",TRUE,"youden_dual"
"DCs","CD8 TEM_2","CD8 T",0,0,2,0,0.134284962890349,2,0,0,"AddModuleScore","WP",TRUE,"youden_dual"
"DCs","CD8 TEM_4","CD8 T",0,0,2,5,-0.0610400596168868,7,0.714285714285714,0.49999990000002,"AddModuleScore","WP",TRUE,"youden_dual"
"DCs","CD8 TEM_5","CD8 T",0,0,1,0,0.166904221192978,1,0,0,"AddModuleScore","WP",TRUE,"youden_dual"
"DCs","Doublet","other",12,0,4,1,1.07485803237009,17,0.764705882352941,0.874999476563001,"AddModuleScore","WP",TRUE,"youden_dual"
"DCs","HSPC","other",0,0,1,0,-0.545125294708145,1,0,0,"AddModuleScore","WP",TRUE,"youden_dual"
"DCs","MAIT","other T",0,0,3,0,-0.33248112309151,3,0,0,"AddModuleScore","WP",TRUE,"youden_dual"
"DCs","NK Proliferating","NK",0,0,1,0,-0.0393653769836024,1,0,0,"AddModuleScore","WP",TRUE,"youden_dual"
"DCs","NK_1","NK",0,0,0,1,-0.046289354235759,1,1,0.4999995000005,"AddModuleScore","WP",TRUE,"youden_dual"
"DCs","NK_2","NK",0,0,1,0,-0.0842294122891153,1,0,0,"AddModuleScore","WP",TRUE,"youden_dual"
"DCs","NK_CD56bright","NK",0,0,0,1,-0.42778509849786,1,1,0.4999995000005,"AddModuleScore","WP",TRUE,"youden_dual"
"DCs","Platelet","other",1,0,19,2,6.19644514824457,22,0.136363636363636,0.524999748750125,"AddModuleScore","WP",TRUE,"youden_dual"
"DCs","Treg Memory","CD4 T",0,0,2,0,-0.652227384394682,2,0,0,"AddModuleScore","WP",TRUE,"youden_dual"
"DCs","Treg Naive","CD4 T",0,0,3,1,-0.473588849232962,4,0.25,0.4999995000005,"AddModuleScore","WP",TRUE,"youden_dual"
"DCs","cDC2_1","DC",2,0,14,0,-0.586571623072504,16,0.125,0.0624999960937502,"AddModuleScore","WP",TRUE,"youden_dual"
"DCs","cDC2_2","DC",1,0,37,13,-0.579243320236966,51,0.274509803921569,0.513157855929046,"AddModuleScore","WP",TRUE,"youden_dual"
"DCs","gdT_1","other T",0,0,1,0,-0.215414436356655,1,0,0,"AddModuleScore","WP",TRUE,"youden_dual"
"DCs","gdT_2","other T",0,0,0,2,0.0404845344631757,2,1,0.499999750000125,"AddModuleScore","WP",TRUE,"youden_dual"
"DCs","gdT_3","other T",0,0,0,1,-0.675823284343854,1,1,0.4999995000005,"AddModuleScore","WP",TRUE,"youden_dual"
"DCs","gdT_4","other T",0,0,1,0,-0.26772569320874,1,0,0,"AddModuleScore","WP",TRUE,"youden_dual"
"DCs","pDC","DC",0,0,3,0,-0.427916802560559,3,0,0,"AddModuleScore","WP",TRUE,"youden_dual"
"Early-NK-cells","CD16 Mono","Mono",0,2,1,3,-0.37418945373947,6,0.5,0.299999940000012,"AddModuleScore","WP",TRUE,"youden_dual"
"Early-NK-cells","CD4 Naive","CD4 T",0,0,0,1,-0.52858282103942,1,1,0.4999995000005,"AddModuleScore","WP",TRUE,"youden_dual"
"Early-NK-cells","CD4 TCM_1","CD4 T",0,0,0,1,-0.466679280516776,1,1,0.4999995000005,"AddModuleScore","WP",TRUE,"youden_dual"
"Early-NK-cells","CD8 TEM_1","CD8 T",0,0,1,0,0.372714033911501,1,0,0,"AddModuleScore","WP",TRUE,"youden_dual"
"Early-NK-cells","CD8 TEM_2","CD8 T",0,0,0,2,-0.239652841596446,2,1,0.499999750000125,"AddModuleScore","WP",TRUE,"youden_dual"
"Early-NK-cells","CD8 TEM_4","CD8 T",0,0,0,5,0.159373338667804,5,1,0.49999990000002,"AddModuleScore","WP",TRUE,"youden_dual"
"Early-NK-cells","CD8 TEM_5","CD8 T",0,0,1,16,0.0726843078516222,17,0.941176470588235,0.499999968750002,"AddModuleScore","WP",TRUE,"youden_dual"
"Early-NK-cells","NK Proliferating","NK",0,1,0,29,-0.210578076876458,30,0.966666666666667,0.483333317222223,"AddModuleScore","WP",TRUE,"youden_dual"
"Early-NK-cells","NK_1","NK",3,48,9,672,0.131700999643878,732,0.922131147540984,0.591666655601853,"AddModuleScore","WP",TRUE,"youden_dual"
"Early-NK-cells","NK_2","NK",1,33,3,251,0.0404200087538869,288,0.875,0.566901375644721,"AddModuleScore","WP",TRUE,"youden_dual"
"Early-NK-cells","NK_3","NK",0,1,1,38,0.10924929218057,40,0.95,0.487179474687706,"AddModuleScore","WP",TRUE,"youden_dual"
"Early-NK-cells","NK_4","NK",0,0,0,19,0.0283029788926877,19,1,0.499999973684212,"AddModuleScore","WP",TRUE,"youden_dual"
"Early-NK-cells","NK_CD56bright","NK",0,0,0,1,-0.37470142943553,1,1,0.4999995000005,"AddModuleScore","WP",TRUE,"youden_dual"
"Early-NK-cells","cDC2_2","DC",0,0,0,1,-0.592184849975595,1,1,0.4999995000005,"AddModuleScore","WP",TRUE,"youden_dual"
"Early-NK-cells","gdT_2","other T",0,0,0,1,-0.397509381269302,1,1,0.4999995000005,"AddModuleScore","WP",TRUE,"youden_dual"
"Early-NK-cells","pDC","DC",0,0,0,1,-0.436952048477484,1,1,0.4999995000005,"AddModuleScore","WP",TRUE,"youden_dual"
"Intermediate-Monocytes","CD14 Mono","Mono",536,13,77,3,0.588840435849568,629,0.85691573926868,0.530944120670488,"AddModuleScore","WP",TRUE,"youden_dual"
"Intermediate-Monocytes","CD16 Mono","Mono",1629,20,478,13,0.0476182403495335,2140,0.767289719626168,0.58353827173819,"AddModuleScore","WP",TRUE,"youden_dual"
"Intermediate-Monocytes","Doublet","other",125,0,5,0,1.29641662531737,130,0.961538461538462,0.480769227071006,"AddModuleScore","WP",TRUE,"youden_dual"
"Intermediate-Monocytes","Platelet","other",2,0,2,0,4.81000249141491,4,0.5,0.249999937500016,"AddModuleScore","WP",TRUE,"youden_dual"
"Late-NK-cells","ASDC_mDC","DC",0,0,0,17,-0.735307559779765,17,1,0.499999970588237,"AddModuleScore","WP",TRUE,"youden_dual"
"Late-NK-cells","ASDC_pDC","DC",0,0,3,7,-0.722769872893663,10,0.7,0.499999928571439,"AddModuleScore","WP",TRUE,"youden_dual"
"Late-NK-cells","B intermediate kappa","B",0,0,0,4,-0.584634125001299,4,1,0.499999875000031,"AddModuleScore","WP",TRUE,"youden_dual"
"Late-NK-cells","B intermediate lambda","B",0,0,0,2,-0.457105117110457,2,1,0.499999750000125,"AddModuleScore","WP",TRUE,"youden_dual"
"Late-NK-cells","B memory kappa","B",0,0,0,3,-0.338062524701843,3,1,0.499999833333389,"AddModuleScore","WP",TRUE,"youden_dual"
"Late-NK-cells","B memory lambda","B",0,0,0,1,-0.496645294983321,1,1,0.4999995000005,"AddModuleScore","WP",TRUE,"youden_dual"
"Late-NK-cells","B naive kappa","B",0,0,0,1,-0.404253607207985,1,1,0.4999995000005,"AddModuleScore","WP",TRUE,"youden_dual"
"Late-NK-cells","CD14 Mono","Mono",0,3,2,1,0.357684374541616,6,0.166666666666667,0.124999968750008,"AddModuleScore","WP",TRUE,"youden_dual"
"Late-NK-cells","CD16 Mono","Mono",397,426,238,319,-0.420544130847037,1380,0.518840579710145,0.526692384148739,"AddModuleScore","WP",TRUE,"youden_dual"
"Late-NK-cells","CD4 CTL","CD4 T",0,0,0,2,-0.0193095346595717,2,1,0.499999750000125,"AddModuleScore","WP",TRUE,"youden_dual"
"Late-NK-cells","CD4 Naive","CD4 T",0,0,0,84,-0.342493380521921,84,1,0.499999994047619,"AddModuleScore","WP",TRUE,"youden_dual"
"Late-NK-cells","CD4 Proliferating","CD4 T",0,0,0,1,-1.05326498936522,1,1,0.4999995000005,"AddModuleScore","WP",TRUE,"youden_dual"
"Late-NK-cells","CD4 TCM_1","CD4 T",0,0,0,5,-0.394190558871013,5,1,0.49999990000002,"AddModuleScore","WP",TRUE,"youden_dual"
"Late-NK-cells","CD4 TEM_2","CD4 T",0,0,0,1,-0.377688192057792,1,1,0.4999995000005,"AddModuleScore","WP",TRUE,"youden_dual"
"Late-NK-cells","CD8 Naive","CD8 T",0,0,1,258,-0.446279182643724,259,0.996138996138996,0.499999998062016,"AddModuleScore","WP",TRUE,"youden_dual"
"Late-NK-cells","CD8 Naive_2","CD8 T",0,0,1,2,-0.199111001747776,3,0.666666666666667,0.499999750000125,"AddModuleScore","WP",TRUE,"youden_dual"
"Late-NK-cells","CD8 Proliferating","CD8 T",0,0,0,2,-0.359877224646068,2,1,0.499999750000125,"AddModuleScore","WP",TRUE,"youden_dual"
"Late-NK-cells","CD8 TCM_1","CD8 T",0,0,0,5,-0.184929765473128,5,1,0.49999990000002,"AddModuleScore","WP",TRUE,"youden_dual"
"Late-NK-cells","CD8 TCM_2","CD8 T",0,0,0,9,-0.272844339543429,9,1,0.499999944444451,"AddModuleScore","WP",TRUE,"youden_dual"
"Late-NK-cells","CD8 TEM_1","CD8 T",0,0,0,37,0.0805879017320388,37,1,0.499999986486487,"AddModuleScore","WP",TRUE,"youden_dual"
"Late-NK-cells","CD8 TEM_2","CD8 T",0,4,0,70,0.074325975665918,74,0.945945945945946,0.472972966581446,"AddModuleScore","WP",TRUE,"youden_dual"
"Late-NK-cells","CD8 TEM_3","CD8 T",0,0,0,9,0.0655510328412049,9,1,0.499999944444451,"AddModuleScore","WP",TRUE,"youden_dual"
"Late-NK-cells","CD8 TEM_4","CD8 T",0,1,1,38,0.145381833466501,40,0.95,0.487179474687706,"AddModuleScore","WP",TRUE,"youden_dual"
"Late-NK-cells","CD8 TEM_5","CD8 T",0,2,2,48,0.182342177553305,52,0.923076923076923,0.4799999904,"AddModuleScore","WP",TRUE,"youden_dual"
"Late-NK-cells","CD8 TEM_6","CD8 T",0,0,0,81,-0.23747179133827,81,1,0.499999993827161,"AddModuleScore","WP",TRUE,"youden_dual"
"Late-NK-cells","Doublet","other",15,0,2,0,0.985645445158373,17,0.882352941176471,0.44117644463668,"AddModuleScore","WP",TRUE,"youden_dual"
"Late-NK-cells","HSPC","other",0,0,1,30,-0.500942303610656,31,0.967741935483871,0.499999983333334,"AddModuleScore","WP",TRUE,"youden_dual"
"Late-NK-cells","ILC","other",0,0,1,89,-0.42741614962034,90,0.988888888888889,0.499999994382023,"AddModuleScore","WP",TRUE,"youden_dual"
"Late-NK-cells","MAIT","other T",0,0,1,11,-0.251671391170042,12,0.916666666666667,0.499999954545459,"AddModuleScore","WP",TRUE,"youden_dual"
"Late-NK-cells","NK Proliferating","NK",0,7,7,386,-0.292014319171627,400,0.965,0.491094146333094,"AddModuleScore","WP",TRUE,"youden_dual"
"Late-NK-cells","NK_1","NK",0,244,24,2443,0.136583611652611,2711,0.901143489487274,0.454596203775736,"AddModuleScore","WP",TRUE,"youden_dual"
"Late-NK-cells","NK_2","NK",10,1213,77,7375,0.0329405021548714,8675,0.851296829971182,0.486849465799754,"AddModuleScore","WP",TRUE,"youden_dual"
"Late-NK-cells","NK_3","NK",0,134,8,1762,0.128018118152059,1904,0.925420168067227,0.464662447012309,"AddModuleScore","WP",TRUE,"youden_dual"
"Late-NK-cells","NK_4","NK",2,51,9,1219,-0.150246409270518,1281,0.953161592505855,0.570830342109258,"AddModuleScore","WP",TRUE,"youden_dual"
"Late-NK-cells","NK_CD56bright","NK",0,4,8,642,-0.379945803373879,654,0.981651376146789,0.496904023998601,"AddModuleScore","WP",TRUE,"youden_dual"
"Late-NK-cells","Platelet","other",2,0,6,2,2.75838485019982,10,0.4,0.624999734375127,"AddModuleScore","WP",TRUE,"youden_dual"
"Late-NK-cells","Treg Memory","CD4 T",0,0,0,4,-0.395983533765617,4,1,0.499999875000031,"AddModuleScore","WP",TRUE,"youden_dual"
"Late-NK-cells","Treg Naive","CD4 T",0,0,0,11,-0.402989636985662,11,1,0.499999954545459,"AddModuleScore","WP",TRUE,"youden_dual"
"Late-NK-cells","cDC1","DC",0,0,7,2,-0.537964582176045,9,0.222222222222222,0.499999750000125,"AddModuleScore","WP",TRUE,"youden_dual"
"Late-NK-cells","cDC2_1","DC",1,0,2,1,-0.573027059560667,4,0.5,0.66666611111163,"AddModuleScore","WP",TRUE,"youden_dual"
"Late-NK-cells","cDC2_2","DC",0,0,51,113,-0.646429991660948,164,0.689024390243902,0.499999995575221,"AddModuleScore","WP",TRUE,"youden_dual"
"Late-NK-cells","dnT_1","other T",0,0,0,5,-0.530125103025618,5,1,0.49999990000002,"AddModuleScore","WP",TRUE,"youden_dual"
"Late-NK-cells","dnT_2","other T",0,0,0,5,-0.356845318226034,5,1,0.49999990000002,"AddModuleScore","WP",TRUE,"youden_dual"
"Late-NK-cells","gdT_1","other T",0,0,0,1,0.0662579593127849,1,1,0.4999995000005,"AddModuleScore","WP",TRUE,"youden_dual"
"Late-NK-cells","gdT_2","other T",0,0,0,9,0.086082223903606,9,1,0.499999944444451,"AddModuleScore","WP",TRUE,"youden_dual"
"Late-NK-cells","gdT_3","other T",0,0,0,82,-0.327689900996914,82,1,0.499999993902439,"AddModuleScore","WP",TRUE,"youden_dual"
"Late-NK-cells","gdT_4","other T",0,0,0,11,0.142622107704251,11,1,0.499999954545459,"AddModuleScore","WP",TRUE,"youden_dual"
"Late-NK-cells","pDC","DC",0,1,350,190,-0.53617255949026,541,0.351201478743068,0.497382196348784,"AddModuleScore","WP",TRUE,"youden_dual"
