"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,0,0,28,-0.658398677154107,28,1,0.499999982142858,"UCell","WP",FALSE,"gmm_dist_dual"
"B-cells","B intermediate lambda",0,0,0,142,-0.8442090196848,142,1,0.499999996478873,"UCell","WP",FALSE,"gmm_dist_dual"
"B-cells","B memory kappa",0,0,0,35,-0.726217381509309,35,1,0.499999985714286,"UCell","WP",FALSE,"gmm_dist_dual"
"B-cells","B memory lambda",0,0,0,30,-0.58591020308006,30,1,0.499999983333334,"UCell","WP",FALSE,"gmm_dist_dual"
"B-cells","B naive kappa",0,0,1,204,-0.664343014322596,205,0.995121951219512,0.49999999754902,"UCell","WP",FALSE,"gmm_dist_dual"
"B-cells","B naive lambda",0,0,0,15,-0.755333194999872,15,1,0.499999966666669,"UCell","WP",FALSE,"gmm_dist_dual"
"B-cells","Plasma",0,1,0,1,-0.465018027120851,2,0.5,0.249999875000062,"UCell","WP",FALSE,"gmm_dist_dual"
"Classical-Monocytes","CD14 Mono",16229,91,9339,58,0.510909727184171,25717,0.6333164832601,0.512000239124511,"UCell","WP",FALSE,"gmm_dist_dual"
"Classical-Monocytes","CD16 Mono",133,3,154,3,0.0137709408776257,293,0.464163822525597,0.481707274599168,"UCell","WP",FALSE,"gmm_dist_dual"
"Classical-Monocytes","Doublet",69,0,40,0,0.501088842007835,109,0.63302752293578,0.316513758564094,"UCell","WP",FALSE,"gmm_dist_dual"
"Classical-Monocytes","HSPC",0,0,1,0,-1.18174070617509,1,0,0,"UCell","WP",FALSE,"gmm_dist_dual"
"Classical-Monocytes","Platelet",17,0,42,0,2.55731812202986,59,0.288135593220339,0.144067794168342,"UCell","WP",FALSE,"gmm_dist_dual"
"Classical-Monocytes","cDC1",0,0,2,0,-0.536870930817692,2,0,0,"UCell","WP",FALSE,"gmm_dist_dual"
"Classical-Monocytes","cDC2_1",26,0,61,0,-0.304307540052433,87,0.298850574712644,0.14942528563879,"UCell","WP",FALSE,"gmm_dist_dual"
"Classical-Monocytes","cDC2_2",2,0,23,0,-0.758699710934719,25,0.08,0.0399999984000001,"UCell","WP",FALSE,"gmm_dist_dual"
"Classical-Monocytes","pDC",0,0,5,0,-0.25351358601546,5,0,0,"UCell","WP",FALSE,"gmm_dist_dual"
