"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,5,0,23,-0.658398677154107,28,0.821428571428571,0.410714271045919,"UCell","WP",FALSE,"gmm_dist_platelet"
"B-cells","B intermediate lambda",0,9,0,133,-0.8442090196848,142,0.936619718309859,0.468309855856973,"UCell","WP",FALSE,"gmm_dist_platelet"
"B-cells","B memory kappa",0,3,0,32,-0.726217381509309,35,0.914285714285714,0.457142844081633,"UCell","WP",FALSE,"gmm_dist_platelet"
"B-cells","B memory lambda",0,5,0,25,-0.58591020308006,30,0.833333333333333,0.416666652777778,"UCell","WP",FALSE,"gmm_dist_platelet"
"B-cells","B naive kappa",0,25,1,179,-0.664343014322596,205,0.873170731707317,0.438725488045463,"UCell","WP",FALSE,"gmm_dist_platelet"
"B-cells","B naive lambda",0,0,0,15,-0.755333194999872,15,1,0.499999966666669,"UCell","WP",FALSE,"gmm_dist_platelet"
"B-cells","Plasma",0,1,0,1,-0.465018027120851,2,0.5,0.249999875000062,"UCell","WP",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","CD14 Mono",16325,92,9243,57,0.510909727184171,25717,0.637010537776568,0.510521881132327,"UCell","WP",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","CD16 Mono",136,3,151,3,0.0137709408776257,293,0.474402730375427,0.486933755417195,"UCell","WP",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","Doublet",69,0,40,0,0.501088842007835,109,0.63302752293578,0.316513758564094,"UCell","WP",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","HSPC",0,0,1,0,-1.18174070617509,1,0,0,"UCell","WP",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","Platelet",58,0,1,0,2.55731812202986,59,0.983050847457627,0.491525415397874,"UCell","WP",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","cDC1",0,0,2,0,-0.536870930817692,2,0,0,"UCell","WP",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","cDC2_1",29,0,58,0,-0.304307540052433,87,0.333333333333333,0.166666664750958,"UCell","WP",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","cDC2_2",3,0,22,0,-0.758699710934719,25,0.12,0.0599999976000001,"UCell","WP",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","pDC",2,0,3,0,-0.25351358601546,5,0.4,0.199999960000008,"UCell","WP",FALSE,"gmm_dist_platelet"
"DCs","ASDC_mDC",0,0,0,1,-0.760257192869599,1,1,0.4999995000005,"UCell","WP",FALSE,"gmm_dist_platelet"
"DCs","CD14 Mono",56,4,29,5,0.298008053501483,94,0.648936170212766,0.607189507744034,"UCell","WP",FALSE,"gmm_dist_platelet"
"DCs","CD16 Mono",26,1,25,2,-0.124211067076466,54,0.518518518518518,0.588235178008495,"UCell","WP",FALSE,"gmm_dist_platelet"
"DCs","CD4 CTL",0,2,0,0,0.0660511996440628,2,0,0,"UCell","WP",FALSE,"gmm_dist_platelet"
"DCs","CD4 Naive",2,2,10,14,-0.726438158587707,28,0.571428571428571,0.520833299045141,"UCell","WP",FALSE,"gmm_dist_platelet"
"DCs","CD4 TCM_1",1,1,8,10,-0.655247586126062,20,0.55,0.510100962605861,"UCell","WP",FALSE,"gmm_dist_platelet"
"DCs","CD4 TCM_2",1,2,4,3,-0.469513851262777,10,0.4,0.399999920000016,"UCell","WP",FALSE,"gmm_dist_platelet"
"DCs","CD4 TCM_3",3,0,10,4,-0.582006266150097,17,0.411764705882353,0.615384481508908,"UCell","WP",FALSE,"gmm_dist_platelet"
"DCs","CD4 TEM_1",1,1,0,0,0.415882515687615,2,0.5,0.4999995000005,"UCell","WP",FALSE,"gmm_dist_platelet"
"DCs","CD4 TEM_3",4,2,1,0,0.376830777924209,7,0.571428571428571,0.399999920000016,"UCell","WP",FALSE,"gmm_dist_platelet"
"DCs","CD8 Naive",0,1,22,13,-0.897518093631255,36,0.361111111111111,0.464285681122451,"UCell","WP",FALSE,"gmm_dist_platelet"
"DCs","CD8 Naive_2",1,0,0,1,-0.0455415781644396,2,1,0.999999000001,"UCell","WP",FALSE,"gmm_dist_platelet"
"DCs","CD8 Proliferating",2,0,0,0,0.165400884923213,2,1,0.499999750000125,"UCell","WP",FALSE,"gmm_dist_platelet"
"DCs","CD8 TCM_1",0,2,0,0,0.910824584169203,2,0,0,"UCell","WP",FALSE,"gmm_dist_platelet"
"DCs","CD8 TCM_2",2,0,0,1,0.0580898443927357,3,1,0.999999250000625,"UCell","WP",FALSE,"gmm_dist_platelet"
"DCs","CD8 TCM_3",2,1,0,0,0.121780686403343,3,0.666666666666667,0.499999750000125,"UCell","WP",FALSE,"gmm_dist_platelet"
"DCs","CD8 TEM_1",5,2,0,0,0.371153653051115,7,0.714285714285714,0.49999990000002,"UCell","WP",FALSE,"gmm_dist_platelet"
"DCs","CD8 TEM_2",2,0,0,0,0.36590661339568,2,1,0.499999750000125,"UCell","WP",FALSE,"gmm_dist_platelet"
"DCs","CD8 TEM_4",2,2,0,0,0.418190639689051,4,0.5,0.499999750000125,"UCell","WP",FALSE,"gmm_dist_platelet"
"DCs","CD8 TEM_5",1,0,0,0,1.60286037172983,1,1,0.4999995000005,"UCell","WP",FALSE,"gmm_dist_platelet"
"DCs","Doublet",13,0,2,1,0.765814184948624,16,0.875,0.933332804444946,"UCell","WP",FALSE,"gmm_dist_platelet"
"DCs","HSPC",0,0,1,0,-0.37409801210781,1,0,0,"UCell","WP",FALSE,"gmm_dist_platelet"
"DCs","MAIT",2,0,0,0,0.090537384702762,2,1,0.499999750000125,"UCell","WP",FALSE,"gmm_dist_platelet"
"DCs","NK Proliferating",1,0,0,0,0.00644138847657057,1,1,0.4999995000005,"UCell","WP",FALSE,"gmm_dist_platelet"
"DCs","NK_1",0,1,0,0,1.95168815559885,1,0,0,"UCell","WP",FALSE,"gmm_dist_platelet"
"DCs","NK_3",1,0,0,0,0.856633846744212,1,1,0.4999995000005,"UCell","WP",FALSE,"gmm_dist_platelet"
"DCs","NK_CD56bright",0,1,0,0,0.558384084471851,1,0,0,"UCell","WP",FALSE,"gmm_dist_platelet"
"DCs","Platelet",15,2,0,0,2.57841170798844,17,0.882352941176471,0.499999966666669,"UCell","WP",FALSE,"gmm_dist_platelet"
"DCs","Treg Memory",0,0,2,0,-0.966382701519474,2,0,0,"UCell","WP",FALSE,"gmm_dist_platelet"
"DCs","Treg Naive",0,0,3,1,-1.05539600540089,4,0.25,0.4999995000005,"UCell","WP",FALSE,"gmm_dist_platelet"
"DCs","cDC2_1",2,0,6,0,-0.513287924716075,8,0.25,0.124999984375002,"UCell","WP",FALSE,"gmm_dist_platelet"
"DCs","cDC2_2",1,1,11,2,-0.753272608934823,15,0.2,0.374999885416704,"UCell","WP",FALSE,"gmm_dist_platelet"
"DCs","dnT_2",0,0,1,0,-0.488902092874828,1,0,0,"UCell","WP",FALSE,"gmm_dist_platelet"
"DCs","gdT_1",1,0,0,0,0.855831021004582,1,1,0.4999995000005,"UCell","WP",FALSE,"gmm_dist_platelet"
"DCs","gdT_2",0,1,0,0,0.754273564941449,1,0,0,"UCell","WP",FALSE,"gmm_dist_platelet"
"DCs","gdT_3",0,0,0,1,-1.18174070617509,1,1,0.4999995000005,"UCell","WP",FALSE,"gmm_dist_platelet"
"DCs","pDC",0,0,2,0,-0.845356721270327,2,0,0,"UCell","WP",FALSE,"gmm_dist_platelet"
"Early-NK-cells","CD16 Mono",0,3,0,2,-0.044056350546124,5,0.4,0.199999960000008,"UCell","WP",FALSE,"gmm_dist_platelet"
"Early-NK-cells","CD4 Naive",0,0,0,1,-1.18174070617509,1,1,0.4999995000005,"UCell","WP",FALSE,"gmm_dist_platelet"
"Early-NK-cells","CD4 TCM_1",0,0,0,1,-0.297829566843009,1,1,0.4999995000005,"UCell","WP",FALSE,"gmm_dist_platelet"
"Early-NK-cells","CD8 TEM_1",1,0,0,0,1.04449506981751,1,1,0.4999995000005,"UCell","WP",FALSE,"gmm_dist_platelet"
"Early-NK-cells","CD8 TEM_2",0,2,0,0,0.0080470399558302,2,0,0,"UCell","WP",FALSE,"gmm_dist_platelet"
"Early-NK-cells","CD8 TEM_4",0,5,0,0,0.813682669674032,5,0,0,"UCell","WP",FALSE,"gmm_dist_platelet"
"Early-NK-cells","CD8 TEM_5",1,15,0,0,0.681868718548614,16,0.0625,0.4999995000005,"UCell","WP",FALSE,"gmm_dist_platelet"
"Early-NK-cells","NK Proliferating",0,20,0,1,0.550413171771245,21,0.0476190476190476,0.023809522675737,"UCell","WP",FALSE,"gmm_dist_platelet"
"Early-NK-cells","NK_1",10,548,0,1,0.745822351945296,559,0.0196779964221825,0.500910696810732,"UCell","WP",FALSE,"gmm_dist_platelet"
"Early-NK-cells","NK_2",3,189,1,22,0.608065928498691,215,0.116279069767442,0.42713260742475,"UCell","WP",FALSE,"gmm_dist_platelet"
"Early-NK-cells","NK_3",1,36,0,0,0.427816411817244,37,0.027027027027027,0.4999995000005,"UCell","WP",FALSE,"gmm_dist_platelet"
"Early-NK-cells","NK_4",0,17,0,0,0.734580721798773,17,0,0,"UCell","WP",FALSE,"gmm_dist_platelet"
"Early-NK-cells","NK_CD56bright",0,0,0,1,-0.502148717578716,1,1,0.4999995000005,"UCell","WP",FALSE,"gmm_dist_platelet"
"Early-NK-cells","gdT_2",0,1,0,0,0.034540289363605,1,0,0,"UCell","WP",FALSE,"gmm_dist_platelet"
"Intermediate-Monocytes","CD14 Mono",308,8,175,6,0.461146057036023,497,0.631790744466801,0.533126278029612,"UCell","WP",FALSE,"gmm_dist_platelet"
"Intermediate-Monocytes","CD16 Mono",724,10,814,13,-0.0811041612038978,1561,0.472133247918001,0.517979294395158,"UCell","WP",FALSE,"gmm_dist_platelet"
"Intermediate-Monocytes","Doublet",96,0,13,0,1.01321801015387,109,0.880733944954128,0.440366968437,"UCell","WP",FALSE,"gmm_dist_platelet"
"Intermediate-Monocytes","Platelet",3,0,0,0,2.17902164420393,3,1,0.499999833333389,"UCell","WP",FALSE,"gmm_dist_platelet"
"Late-NK-cells","ASDC_mDC",0,0,0,7,-1.1341446087542,7,1,0.499999928571439,"UCell","WP",FALSE,"gmm_dist_platelet"
"Late-NK-cells","ASDC_pDC",0,1,0,2,-0.671678752930479,3,0.666666666666667,0.333333222222259,"UCell","WP",FALSE,"gmm_dist_platelet"
"Late-NK-cells","B intermediate kappa",0,0,0,4,-0.947917709507995,4,1,0.499999875000031,"UCell","WP",FALSE,"gmm_dist_platelet"
"Late-NK-cells","B intermediate lambda",0,0,0,1,-1.10105671934232,1,1,0.4999995000005,"UCell","WP",FALSE,"gmm_dist_platelet"
