"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,0,0,36,-0.6175660754853,36,1,0.499999986111112,"UCell","WP",FALSE,"kmeans"
"B-cells","B intermediate lambda",0,1,0,165,-0.852043736806058,166,0.993975903614458,0.496987948813326,"UCell","WP",FALSE,"kmeans"
"B-cells","B memory kappa",0,0,1,44,-0.634758164690601,45,0.977777777777778,0.499999988636364,"UCell","WP",FALSE,"kmeans"
"B-cells","B memory lambda",0,0,0,34,-0.575080982667134,34,1,0.499999985294118,"UCell","WP",FALSE,"kmeans"
"B-cells","B naive kappa",0,0,1,247,-0.742144393526294,248,0.995967741935484,0.499999997975708,"UCell","WP",FALSE,"kmeans"
"B-cells","B naive lambda",0,0,0,20,-0.755292659382187,20,1,0.499999975000001,"UCell","WP",FALSE,"kmeans"
"B-cells","Plasma",0,0,0,1,0.123424670569534,1,1,0.4999995000005,"UCell","WP",FALSE,"kmeans"
"Classical-Monocytes","CD14 Mono",13107,54,20023,133,0.503156204429704,33317,0.397394723414473,0.553426622425913,"UCell","WP",FALSE,"kmeans"
"Classical-Monocytes","CD16 Mono",147,2,339,4,0.17653691638704,492,0.306910569105691,0.484567845367839,"UCell","WP",FALSE,"kmeans"
"Classical-Monocytes","Doublet",55,0,85,0,0.516314167756251,140,0.392857142857143,0.19642857002551,"UCell","WP",FALSE,"kmeans"
"Classical-Monocytes","Eryth",3,0,8,0,-0.207684165392318,11,0.272727272727273,0.136363623966943,"UCell","WP",FALSE,"kmeans"
"Classical-Monocytes","HSPC",0,0,1,0,-0.499703011118411,1,0,0,"UCell","WP",FALSE,"kmeans"
"Classical-Monocytes","Platelet",45,0,17,0,2.78359453542524,62,0.725806451612903,0.362903219953174,"UCell","WP",FALSE,"kmeans"
"Classical-Monocytes","cDC1",0,0,3,0,-0.874718841658072,3,0,0,"UCell","WP",FALSE,"kmeans"
"Classical-Monocytes","cDC2_1",46,0,119,0,0.271352465411802,165,0.278787878787879,0.139393938549128,"UCell","WP",FALSE,"kmeans"
"Classical-Monocytes","cDC2_2",0,0,44,0,-0.739797560664888,44,0,0,"UCell","WP",FALSE,"kmeans"
"Classical-Monocytes","pDC",0,0,5,0,0.160144694669001,5,0,0,"UCell","WP",FALSE,"kmeans"
"DCs","ASDC_mDC",0,0,0,1,-0.895913660763104,1,1,0.4999995000005,"UCell","WP",FALSE,"kmeans"
"DCs","CD14 Mono",33,1,75,8,0.211702450784242,117,0.35042735042735,0.597222171424903,"UCell","WP",FALSE,"kmeans"
"DCs","CD16 Mono",11,0,54,5,-0.0636101460595603,70,0.228571428571429,0.584615283313629,"UCell","WP",FALSE,"kmeans"
"DCs","CD4 CTL",0,0,3,2,0.142500007764062,5,0.4,0.499999750000125,"UCell","WP",FALSE,"kmeans"
"DCs","CD4 Naive",0,0,19,21,-0.773205593216424,40,0.525,0.499999976190477,"UCell","WP",FALSE,"kmeans"
"DCs","CD4 TCM_1",0,0,14,15,-0.719686048463075,29,0.517241379310345,0.499999966666669,"UCell","WP",FALSE,"kmeans"
"DCs","CD4 TCM_2",0,0,3,2,-0.630051148614358,5,0.4,0.499999750000125,"UCell","WP",FALSE,"kmeans"
"DCs","CD4 TCM_3",0,0,17,5,-0.752523484011049,22,0.227272727272727,0.49999990000002,"UCell","WP",FALSE,"kmeans"
"DCs","CD4 TEM_1",0,0,1,2,0.231253312766384,3,0.666666666666667,0.499999750000125,"UCell","WP",FALSE,"kmeans"
"DCs","CD4 TEM_3",0,0,5,3,0.325404673259519,8,0.375,0.499999833333389,"UCell","WP",FALSE,"kmeans"
"DCs","CD8 Naive",0,0,29,15,-0.831380855718166,44,0.340909090909091,0.499999966666669,"UCell","WP",FALSE,"kmeans"
"DCs","CD8 Naive_2",0,0,0,1,-0.529110822626644,1,1,0.4999995000005,"UCell","WP",FALSE,"kmeans"
"DCs","CD8 Proliferating",0,0,1,0,0.0864662047551329,1,0,0,"UCell","WP",FALSE,"kmeans"
"DCs","CD8 TCM_1",0,0,0,2,0.741982219387954,2,1,0.499999750000125,"UCell","WP",FALSE,"kmeans"
"DCs","CD8 TCM_2",0,0,2,2,-0.172739809518439,4,0.5,0.499999750000125,"UCell","WP",FALSE,"kmeans"
"DCs","CD8 TCM_3",0,0,2,1,-0.0116923012250461,3,0.333333333333333,0.4999995000005,"UCell","WP",FALSE,"kmeans"
"DCs","CD8 TEM_1",0,0,7,2,0.218624733049636,9,0.222222222222222,0.499999750000125,"UCell","WP",FALSE,"kmeans"
"DCs","CD8 TEM_2",0,0,2,0,0.205885763650049,2,0,0,"UCell","WP",FALSE,"kmeans"
"DCs","CD8 TEM_4",0,0,2,5,0.256952030931235,7,0.714285714285714,0.49999990000002,"UCell","WP",FALSE,"kmeans"
"DCs","CD8 TEM_5",0,0,1,0,1.95982327840116,1,0,0,"UCell","WP",FALSE,"kmeans"
"DCs","Doublet",10,0,6,1,1.04811099172981,17,0.647058823529412,0.812499480469251,"UCell","WP",FALSE,"kmeans"
"DCs","HSPC",0,0,1,0,-0.50049781683485,1,0,0,"UCell","WP",FALSE,"kmeans"
"DCs","MAIT",0,0,3,0,-0.12760146820569,3,0,0,"UCell","WP",FALSE,"kmeans"
"DCs","NK Proliferating",0,0,1,0,0.825635521043127,1,0,0,"UCell","WP",FALSE,"kmeans"
"DCs","NK_1",0,0,0,1,1.84139722665179,1,1,0.4999995000005,"UCell","WP",FALSE,"kmeans"
"DCs","NK_2",0,0,1,0,0.863786195432186,1,0,0,"UCell","WP",FALSE,"kmeans"
"DCs","NK_CD56bright",0,0,0,1,0.418694994226512,1,1,0.4999995000005,"UCell","WP",FALSE,"kmeans"
"DCs","Platelet",8,2,12,0,2.55442827312872,22,0.363636363636364,0.19999999,"UCell","WP",FALSE,"kmeans"
"DCs","Treg Memory",0,0,2,0,-1.09898652131319,2,0,0,"UCell","WP",FALSE,"kmeans"
"DCs","Treg Naive",0,0,3,1,-1.01662477894723,4,0.25,0.4999995000005,"UCell","WP",FALSE,"kmeans"
"DCs","cDC2_1",0,0,16,0,-0.447444535262566,16,0,0,"UCell","WP",FALSE,"kmeans"
"DCs","cDC2_2",1,0,37,13,-0.647061549388728,51,0.274509803921569,0.513157855929046,"UCell","WP",FALSE,"kmeans"
