"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,3,0,25,-0.658398677154107,28,0.892857142857143,0.446428555484694,"UCell","WP",FALSE,"youden"
"B-cells","B intermediate lambda",0,5,0,137,-0.8442090196848,142,0.964788732394366,0.48239436280004,"UCell","WP",FALSE,"youden"
"B-cells","B memory kappa",0,2,0,33,-0.726217381509309,35,0.942857142857143,0.471428557959184,"UCell","WP",FALSE,"youden"
"B-cells","B memory lambda",0,3,0,27,-0.58591020308006,30,0.9,0.449999985,"UCell","WP",FALSE,"youden"
"B-cells","B naive kappa",0,17,1,187,-0.664343014322596,205,0.91219512195122,0.458333331086601,"UCell","WP",FALSE,"youden"
"B-cells","B naive lambda",0,0,0,15,-0.755333194999872,15,1,0.499999966666669,"UCell","WP",FALSE,"youden"
"B-cells","Plasma",0,1,0,1,-0.465018027120851,2,0.5,0.249999875000062,"UCell","WP",FALSE,"youden"
"Classical-Monocytes","CD14 Mono",14851,75,10717,74,0.510909727184171,25717,0.580355406929269,0.538743766749026,"UCell","WP",FALSE,"youden"
"Classical-Monocytes","CD16 Mono",113,3,174,3,0.0137709408776257,293,0.395904436860068,0.44686406914566,"UCell","WP",FALSE,"youden"
"Classical-Monocytes","Doublet",62,0,47,0,0.501088842007835,109,0.568807339449541,0.284403667115563,"UCell","WP",FALSE,"youden"
"Classical-Monocytes","HSPC",0,0,1,0,-1.18174070617509,1,0,0,"UCell","WP",FALSE,"youden"
"Classical-Monocytes","Platelet",58,0,1,0,2.55731812202986,59,0.983050847457627,0.491525415397874,"UCell","WP",FALSE,"youden"
"Classical-Monocytes","cDC1",0,0,2,0,-0.536870930817692,2,0,0,"UCell","WP",FALSE,"youden"
"Classical-Monocytes","cDC2_1",21,0,66,0,-0.304307540052433,87,0.241379310344828,0.120689653785176,"UCell","WP",FALSE,"youden"
"Classical-Monocytes","cDC2_2",3,0,22,0,-0.758699710934719,25,0.12,0.0599999976000001,"UCell","WP",FALSE,"youden"
"Classical-Monocytes","pDC",1,0,4,0,-0.25351358601546,5,0.2,0.099999980000004,"UCell","WP",FALSE,"youden"
"DCs","ASDC_mDC",0,0,0,1,-0.760257192869599,1,1,0.4999995000005,"UCell","WP",FALSE,"youden"
"DCs","CD14 Mono",47,4,38,5,0.298008053501483,94,0.553191489361702,0.554248331896283,"UCell","WP",FALSE,"youden"
"DCs","CD16 Mono",22,1,29,2,-0.124211067076466,54,0.444444444444444,0.549019492502921,"UCell","WP",FALSE,"youden"
"DCs","CD4 CTL",0,1,0,1,0.0660511996440628,2,0.5,0.249999875000062,"UCell","WP",FALSE,"youden"
"DCs","CD4 Naive",2,1,10,15,-0.726438158587707,28,0.607142857142857,0.552083297092016,"UCell","WP",FALSE,"youden"
"DCs","CD4 TCM_1",0,1,9,10,-0.655247586126062,20,0.5,0.454545413223144,"UCell","WP",FALSE,"youden"
"DCs","CD4 TCM_2",0,1,5,4,-0.469513851262777,10,0.4,0.399999920000016,"UCell","WP",FALSE,"youden"
"DCs","CD4 TCM_3",2,0,11,4,-0.582006266150097,17,0.352941176470588,0.576922946005949,"UCell","WP",FALSE,"youden"
"DCs","CD4 TEM_1",0,1,1,0,0.415882515687615,2,0,0,"UCell","WP",FALSE,"youden"
"DCs","CD4 TEM_3",2,2,3,0,0.376830777924209,7,0.285714285714286,0.199999960000008,"UCell","WP",FALSE,"youden"
"DCs","CD8 Naive",0,1,22,13,-0.897518093631255,36,0.361111111111111,0.464285681122451,"UCell","WP",FALSE,"youden"
"DCs","CD8 Naive_2",1,0,0,1,-0.0455415781644396,2,1,0.999999000001,"UCell","WP",FALSE,"youden"
"DCs","CD8 Proliferating",1,0,1,0,0.165400884923213,2,0.5,0.249999875000062,"UCell","WP",FALSE,"youden"
"DCs","CD8 TCM_1",0,2,0,0,0.910824584169203,2,0,0,"UCell","WP",FALSE,"youden"
"DCs","CD8 TCM_2",2,0,0,1,0.0580898443927357,3,1,0.999999250000625,"UCell","WP",FALSE,"youden"
"DCs","CD8 TCM_3",1,0,1,1,0.121780686403343,3,0.666666666666667,0.749999375000562,"UCell","WP",FALSE,"youden"
"DCs","CD8 TEM_1",3,2,2,0,0.371153653051115,7,0.428571428571429,0.299999940000012,"UCell","WP",FALSE,"youden"
"DCs","CD8 TEM_2",2,0,0,0,0.36590661339568,2,1,0.499999750000125,"UCell","WP",FALSE,"youden"
"DCs","CD8 TEM_4",1,2,1,0,0.418190639689051,4,0.25,0.249999875000062,"UCell","WP",FALSE,"youden"
"DCs","CD8 TEM_5",1,0,0,0,1.60286037172983,1,1,0.4999995000005,"UCell","WP",FALSE,"youden"
"DCs","Doublet",13,0,2,1,0.765814184948624,16,0.875,0.933332804444946,"UCell","WP",FALSE,"youden"
"DCs","HSPC",0,0,1,0,-0.37409801210781,1,0,0,"UCell","WP",FALSE,"youden"
"DCs","MAIT",1,0,1,0,0.090537384702762,2,0.5,0.249999875000062,"UCell","WP",FALSE,"youden"
"DCs","NK Proliferating",0,0,1,0,0.00644138847657057,1,0,0,"UCell","WP",FALSE,"youden"
"DCs","NK_1",0,1,0,0,1.95168815559885,1,0,0,"UCell","WP",FALSE,"youden"
"DCs","NK_3",1,0,0,0,0.856633846744212,1,1,0.4999995000005,"UCell","WP",FALSE,"youden"
"DCs","NK_CD56bright",0,1,0,0,0.558384084471851,1,0,0,"UCell","WP",FALSE,"youden"
"DCs","Platelet",15,2,0,0,2.57841170798844,17,0.882352941176471,0.499999966666669,"UCell","WP",FALSE,"youden"
"DCs","Treg Memory",0,0,2,0,-0.966382701519474,2,0,0,"UCell","WP",FALSE,"youden"
"DCs","Treg Naive",0,0,3,1,-1.05539600540089,4,0.25,0.4999995000005,"UCell","WP",FALSE,"youden"
"DCs","cDC2_1",2,0,6,0,-0.513287924716075,8,0.25,0.124999984375002,"UCell","WP",FALSE,"youden"
"DCs","cDC2_2",0,1,12,2,-0.753272608934823,15,0.133333333333333,0.333333222222259,"UCell","WP",FALSE,"youden"
"DCs","dnT_2",0,0,1,0,-0.488902092874828,1,0,0,"UCell","WP",FALSE,"youden"
