"celltype_clean","celltype.l3","celltype.l1","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa","B",0,0,0,36,-0.6175660754853,36,1,0.499999986111112,"UCell","WP",FALSE,"youden_dual"
"B-cells","B intermediate lambda","B",0,2,0,164,-0.852043736806058,166,0.987951807228916,0.493975900638699,"UCell","WP",FALSE,"youden_dual"
"B-cells","B memory kappa","B",0,0,1,44,-0.634758164690601,45,0.977777777777778,0.499999988636364,"UCell","WP",FALSE,"youden_dual"
"B-cells","B memory lambda","B",0,0,0,34,-0.575080982667134,34,1,0.499999985294118,"UCell","WP",FALSE,"youden_dual"
"B-cells","B naive kappa","B",0,0,1,247,-0.742144393526294,248,0.995967741935484,0.499999997975708,"UCell","WP",FALSE,"youden_dual"
"B-cells","B naive lambda","B",0,0,0,20,-0.755292659382187,20,1,0.499999975000001,"UCell","WP",FALSE,"youden_dual"
"B-cells","Plasma","B",0,0,0,1,0.123424670569534,1,1,0.4999995000005,"UCell","WP",FALSE,"youden_dual"
"Classical-Monocytes","CD14 Mono","Mono",28495,155,4635,32,0.503156204429704,33317,0.856229552480716,0.515609791452716,"UCell","WP",FALSE,"youden_dual"
"Classical-Monocytes","CD16 Mono","Mono",420,5,66,1,0.17653691638704,492,0.855691056910569,0.515432083987453,"UCell","WP",FALSE,"youden_dual"
"Classical-Monocytes","Doublet","other",127,0,13,0,0.516314167756251,140,0.907142857142857,0.453571425331633,"UCell","WP",FALSE,"youden_dual"
"Classical-Monocytes","Eryth","other",8,0,3,0,-0.207684165392318,11,0.727272727272727,0.363636330578515,"UCell","WP",FALSE,"youden_dual"
"Classical-Monocytes","HSPC","other",0,0,1,0,-0.499703011118411,1,0,0,"UCell","WP",FALSE,"youden_dual"
"Classical-Monocytes","Platelet","other",7,0,55,0,2.78359453542524,62,0.112903225806452,0.0564516119927159,"UCell","WP",FALSE,"youden_dual"
"Classical-Monocytes","cDC1","DC",0,0,3,0,-0.874718841658072,3,0,0,"UCell","WP",FALSE,"youden_dual"
"Classical-Monocytes","cDC2_1","DC",95,0,70,0,0.271352465411802,165,0.575757575757576,0.287878786134068,"UCell","WP",FALSE,"youden_dual"
"Classical-Monocytes","cDC2_2","DC",9,0,35,0,-0.739797560664888,44,0.204545454545455,0.102272724948347,"UCell","WP",FALSE,"youden_dual"
"Classical-Monocytes","pDC","DC",0,0,5,0,0.160144694669001,5,0,0,"UCell","WP",FALSE,"youden_dual"
"DCs","ASDC_mDC","DC",0,1,0,0,-0.895913660763104,1,0,0,"UCell","WP",FALSE,"youden_dual"
"DCs","CD14 Mono","Mono",83,7,25,2,0.211702450784242,117,0.726495726495726,0.495370354466737,"UCell","WP",FALSE,"youden_dual"
"DCs","CD16 Mono","Mono",45,4,20,1,-0.0636101460595603,70,0.657142857142857,0.446153820828406,"UCell","WP",FALSE,"youden_dual"
"DCs","CD4 CTL","CD4 T",0,0,3,2,0.142500007764062,5,0.4,0.499999750000125,"UCell","WP",FALSE,"youden_dual"
