"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,0,0,28,-0.421130192300175,28,1,0.499999982142858,"UCell","WP",TRUE,"gmm_dist_platelet"
"B-cells","B intermediate lambda",0,0,0,142,-0.487780709839834,142,1,0.499999996478873,"UCell","WP",TRUE,"gmm_dist_platelet"
"B-cells","B memory kappa",0,0,0,35,-0.428163817385352,35,1,0.499999985714286,"UCell","WP",TRUE,"gmm_dist_platelet"
"B-cells","B memory lambda",0,0,0,30,-0.389556168616438,30,1,0.499999983333334,"UCell","WP",TRUE,"gmm_dist_platelet"
"B-cells","B naive kappa",0,0,1,204,-0.436966539751014,205,0.995121951219512,0.49999999754902,"UCell","WP",TRUE,"gmm_dist_platelet"
"B-cells","B naive lambda",0,0,0,15,-0.441123768903824,15,1,0.499999966666669,"UCell","WP",TRUE,"gmm_dist_platelet"
"B-cells","Plasma",0,0,0,2,-0.381869742323811,2,1,0.499999750000125,"UCell","WP",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","CD14 Mono",8731,36,16837,113,0.522035867399745,25717,0.343897033090951,0.549935398033015,"UCell","WP",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","CD16 Mono",48,1,239,5,0.0971823745591558,293,0.180887372013652,0.500290290310653,"UCell","WP",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","Doublet",42,0,67,0,0.607564193852996,109,0.385321100917431,0.192660548691188,"UCell","WP",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","HSPC",0,0,1,0,-0.612785852455381,1,0,0,"UCell","WP",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","Platelet",59,0,0,0,7.22890994847193,59,1,0.499999991525424,"UCell","WP",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","cDC1",0,0,2,0,-0.233594569954254,2,0,0,"UCell","WP",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","cDC2_1",6,0,81,0,-0.141198989816505,87,0.0689655172413793,0.0344827582243361,"UCell","WP",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","cDC2_2",0,0,25,0,-0.443603428131822,25,0,0,"UCell","WP",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","pDC",1,0,4,0,0.219029458182664,5,0.2,0.099999980000004,"UCell","WP",TRUE,"gmm_dist_platelet"
"DCs","ASDC_mDC",0,0,0,1,-0.476990884301838,1,1,0.4999995000005,"UCell","WP",TRUE,"gmm_dist_platelet"
"DCs","CD14 Mono",25,2,60,7,0.312027410749805,94,0.340425531914894,0.535947667478325,"UCell","WP",TRUE,"gmm_dist_platelet"
"DCs","CD16 Mono",2,0,49,3,-0.153731800852878,54,0.0925925925925926,0.519607676086176,"UCell","WP",TRUE,"gmm_dist_platelet"
"DCs","CD4 CTL",0,0,0,2,-0.210768082450349,2,1,0.499999750000125,"UCell","WP",TRUE,"gmm_dist_platelet"
"DCs","CD4 Naive",0,0,12,16,-0.466094954714281,28,0.571428571428571,0.499999968750002,"UCell","WP",TRUE,"gmm_dist_platelet"
"DCs","CD4 TCM_1",0,0,9,11,-0.443158537950443,20,0.55,0.499999954545459,"UCell","WP",TRUE,"gmm_dist_platelet"
"DCs","CD4 TCM_2",0,0,5,5,-0.383318221984115,10,0.5,0.49999990000002,"UCell","WP",TRUE,"gmm_dist_platelet"
"DCs","CD4 TCM_3",0,0,13,4,-0.419561404492815,17,0.235294117647059,0.499999875000031,"UCell","WP",TRUE,"gmm_dist_platelet"
"DCs","CD4 TEM_1",0,0,1,1,-0.0980582588829087,2,0.5,0.4999995000005,"UCell","WP",TRUE,"gmm_dist_platelet"
"DCs","CD4 TEM_3",0,0,5,2,-0.0534214366980174,7,0.285714285714286,0.499999750000125,"UCell","WP",TRUE,"gmm_dist_platelet"
"DCs","CD8 Naive",0,0,22,14,-0.509617601253439,36,0.388888888888889,0.499999964285717,"UCell","WP",TRUE,"gmm_dist_platelet"
"DCs","CD8 Naive_2",0,0,1,1,-0.246721416875763,2,0.5,0.4999995000005,"UCell","WP",TRUE,"gmm_dist_platelet"
"DCs","CD8 Proliferating",0,0,2,0,-0.178759268528443,2,0,0,"UCell","WP",TRUE,"gmm_dist_platelet"
"DCs","CD8 TCM_1",0,0,0,2,0.0614038322916765,2,1,0.499999750000125,"UCell","WP",TRUE,"gmm_dist_platelet"
"DCs","CD8 TCM_2",0,0,2,1,-0.209237694714016,3,0.333333333333333,0.4999995000005,"UCell","WP",TRUE,"gmm_dist_platelet"
"DCs","CD8 TCM_3",0,0,2,1,-0.192812969994492,3,0.333333333333333,0.4999995000005,"UCell","WP",TRUE,"gmm_dist_platelet"
"DCs","CD8 TEM_1",0,0,5,2,-0.0496154824885446,7,0.285714285714286,0.499999750000125,"UCell","WP",TRUE,"gmm_dist_platelet"
"DCs","CD8 TEM_2",0,0,2,0,0.0990384377513728,2,0,0,"UCell","WP",TRUE,"gmm_dist_platelet"
"DCs","CD8 TEM_4",0,0,2,2,-0.097314619771593,4,0.5,0.499999750000125,"UCell","WP",TRUE,"gmm_dist_platelet"
"DCs","CD8 TEM_5",0,0,1,0,0.284366237145683,1,0,0,"UCell","WP",TRUE,"gmm_dist_platelet"
"DCs","Doublet",13,0,2,1,1.57727982857613,16,0.875,0.933332804444946,"UCell","WP",TRUE,"gmm_dist_platelet"
"DCs","HSPC",0,0,1,0,-0.352576827764974,1,0,0,"UCell","WP",TRUE,"gmm_dist_platelet"
"DCs","MAIT",0,0,2,0,-0.202879041443333,2,0,0,"UCell","WP",TRUE,"gmm_dist_platelet"
"DCs","NK Proliferating",0,0,1,0,-0.229973370803493,1,0,0,"UCell","WP",TRUE,"gmm_dist_platelet"
"DCs","NK_1",0,0,0,1,0.396752739360375,1,1,0.4999995000005,"UCell","WP",TRUE,"gmm_dist_platelet"
"DCs","NK_3",0,0,1,0,0.387699741483471,1,0,0,"UCell","WP",TRUE,"gmm_dist_platelet"
"DCs","NK_CD56bright",0,0,0,1,-0.0521466267929037,1,1,0.4999995000005,"UCell","WP",TRUE,"gmm_dist_platelet"
"DCs","Platelet",15,2,0,0,7.807726990424,17,0.882352941176471,0.499999966666669,"UCell","WP",TRUE,"gmm_dist_platelet"
"DCs","Treg Memory",0,0,2,0,-0.543401090155975,2,0,0,"UCell","WP",TRUE,"gmm_dist_platelet"
"DCs","Treg Naive",0,0,3,1,-0.572079694144593,4,0.25,0.4999995000005,"UCell","WP",TRUE,"gmm_dist_platelet"
"DCs","cDC2_1",0,0,8,0,-0.287265914510177,8,0,0,"UCell","WP",TRUE,"gmm_dist_platelet"
"DCs","cDC2_2",0,0,12,3,-0.415766752945757,15,0.2,0.499999833333389,"UCell","WP",TRUE,"gmm_dist_platelet"
"DCs","dnT_2",0,0,1,0,-0.389564790519179,1,0,0,"UCell","WP",TRUE,"gmm_dist_platelet"
"DCs","gdT_1",0,0,1,0,0.0436858221611681,1,0,0,"UCell","WP",TRUE,"gmm_dist_platelet"
"DCs","gdT_2",0,0,0,1,0.018078771023644,1,1,0.4999995000005,"UCell","WP",TRUE,"gmm_dist_platelet"
"DCs","gdT_3",0,0,0,1,-0.612785852455381,1,1,0.4999995000005,"UCell","WP",TRUE,"gmm_dist_platelet"
"DCs","pDC",0,0,2,0,-0.504408535014745,2,0,0,"UCell","WP",TRUE,"gmm_dist_platelet"
"Early-NK-cells","CD16 Mono",0,0,0,5,-0.103515923317271,5,1,0.49999990000002,"UCell","WP",TRUE,"gmm_dist_platelet"
"Early-NK-cells","CD4 Naive",0,0,0,1,-0.612785852455381,1,1,0.4999995000005,"UCell","WP",TRUE,"gmm_dist_platelet"
"Early-NK-cells","CD4 TCM_1",0,0,0,1,-0.328004404956239,1,1,0.4999995000005,"UCell","WP",TRUE,"gmm_dist_platelet"
"Early-NK-cells","CD8 TEM_1",0,0,1,0,0.104470236477515,1,0,0,"UCell","WP",TRUE,"gmm_dist_platelet"
"Early-NK-cells","CD8 TEM_2",0,0,0,2,-0.229456056639097,2,1,0.499999750000125,"UCell","WP",TRUE,"gmm_dist_platelet"
