"celltype_clean","celltype.l3","celltype.l1","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa","B",0,0,0,36,-0.468098865022949,36,1,0.499999986111112,"UCell","WP",TRUE,"youden_dual"
"B-cells","B intermediate lambda","B",0,2,0,164,-0.562763528747091,166,0.987951807228916,0.493975900638699,"UCell","WP",TRUE,"youden_dual"
"B-cells","B memory kappa","B",0,0,1,44,-0.458743409407168,45,0.977777777777778,0.499999988636364,"UCell","WP",TRUE,"youden_dual"
"B-cells","B memory lambda","B",0,0,0,34,-0.464471996732272,34,1,0.499999985294118,"UCell","WP",TRUE,"youden_dual"
"B-cells","B naive kappa","B",0,0,1,247,-0.542570547695798,248,0.995967741935484,0.499999997975708,"UCell","WP",TRUE,"youden_dual"
"B-cells","B naive lambda","B",0,0,0,20,-0.533750928679319,20,1,0.499999975000001,"UCell","WP",TRUE,"youden_dual"
"B-cells","Plasma","B",0,0,0,1,-0.254862180938252,1,1,0.4999995000005,"UCell","WP",TRUE,"youden_dual"
"Classical-Monocytes","CD14 Mono","Mono",29368,161,3762,26,0.673300376073243,33317,0.882252303628778,0.512742380544954,"UCell","WP",TRUE,"youden_dual"
"Classical-Monocytes","CD16 Mono","Mono",433,6,53,0,0.341401466449944,492,0.880081300813008,0.445473250112195,"UCell","WP",TRUE,"youden_dual"
"Classical-Monocytes","Doublet","other",128,0,12,0,0.761669840584513,140,0.914285714285714,0.457142853877551,"UCell","WP",TRUE,"youden_dual"
"Classical-Monocytes","Eryth","other",10,0,1,0,0.417786405015718,11,0.909090909090909,0.454545413223144,"UCell","WP",TRUE,"youden_dual"
"Classical-Monocytes","HSPC","other",0,0,1,0,-0.472007229704541,1,0,0,"UCell","WP",TRUE,"youden_dual"
"Classical-Monocytes","Platelet","other",7,0,55,0,8.00181830329955,62,0.112903225806452,0.0564516119927159,"UCell","WP",TRUE,"youden_dual"
"Classical-Monocytes","cDC1","DC",0,0,3,0,-0.241244453602781,3,0,0,"UCell","WP",TRUE,"youden_dual"
"Classical-Monocytes","cDC2_1","DC",97,0,68,0,0.426776203320201,165,0.587878787878788,0.293939392157943,"UCell","WP",TRUE,"youden_dual"
"Classical-Monocytes","cDC2_2","DC",9,0,35,0,-0.516253303097928,44,0.204545454545455,0.102272724948347,"UCell","WP",TRUE,"youden_dual"
"Classical-Monocytes","pDC","DC",0,0,5,0,0.429670967053947,5,0,0,"UCell","WP",TRUE,"youden_dual"
"DCs","ASDC_mDC","DC",0,1,0,0,-0.610077136349944,1,0,0,"UCell","WP",TRUE,"youden_dual"
"DCs","CD14 Mono","Mono",84,7,24,2,0.331487212146981,117,0.735042735042735,0.499999984053499,"UCell","WP",TRUE,"youden_dual"
"DCs","CD16 Mono","Mono",44,4,21,1,-0.12637348303169,70,0.642857142857143,0.438461513254442,"UCell","WP",TRUE,"youden_dual"
"DCs","CD4 CTL","CD4 T",0,0,3,2,-0.248214883527039,5,0.4,0.499999750000125,"UCell","WP",TRUE,"youden_dual"
"DCs","CD4 Naive","CD4 T",0,0,19,21,-0.554565278698179,40,0.525,0.499999976190477,"UCell","WP",TRUE,"youden_dual"
"DCs","CD4 TCM_1","CD4 T",0,0,14,15,-0.496891616780569,29,0.517241379310345,0.499999966666669,"UCell","WP",TRUE,"youden_dual"
"DCs","CD4 TCM_2","CD4 T",0,0,3,2,-0.517430428681163,5,0.4,0.499999750000125,"UCell","WP",TRUE,"youden_dual"
"DCs","CD4 TCM_3","CD4 T",0,0,17,5,-0.527036277023503,22,0.227272727272727,0.49999990000002,"UCell","WP",TRUE,"youden_dual"
"DCs","CD4 TEM_1","CD4 T",0,0,1,2,-0.122331688802194,3,0.666666666666667,0.499999750000125,"UCell","WP",TRUE,"youden_dual"
"DCs","CD4 TEM_3","CD4 T",0,0,5,3,-0.130138801126301,8,0.375,0.499999833333389,"UCell","WP",TRUE,"youden_dual"
"DCs","CD8 Naive","CD8 T",0,0,29,15,-0.572009398571241,44,0.340909090909091,0.499999966666669,"UCell","WP",TRUE,"youden_dual"
"DCs","CD8 Naive_2","CD8 T",0,0,0,1,-0.467575698097067,1,1,0.4999995000005,"UCell","WP",TRUE,"youden_dual"
"DCs","CD8 Proliferating","CD8 T",0,0,1,0,-0.239767276400289,1,0,0,"UCell","WP",TRUE,"youden_dual"
"DCs","CD8 TCM_1","CD8 T",0,0,0,2,-0.0393097138433988,2,1,0.499999750000125,"UCell","WP",TRUE,"youden_dual"
"DCs","CD8 TCM_2","CD8 T",0,0,2,2,-0.35297906043501,4,0.5,0.499999750000125,"UCell","WP",TRUE,"youden_dual"
"DCs","CD8 TCM_3","CD8 T",0,0,2,1,-0.247660942076104,3,0.333333333333333,0.4999995000005,"UCell","WP",TRUE,"youden_dual"
"DCs","CD8 TEM_1","CD8 T",0,0,7,2,-0.137411206077631,9,0.222222222222222,0.499999750000125,"UCell","WP",TRUE,"youden_dual"
"DCs","CD8 TEM_2","CD8 T",0,0,2,0,-0.00593474142459937,2,0,0,"UCell","WP",TRUE,"youden_dual"
"DCs","CD8 TEM_4","CD8 T",0,0,2,5,-0.131531073612356,7,0.714285714285714,0.49999990000002,"UCell","WP",TRUE,"youden_dual"
"DCs","CD8 TEM_5","CD8 T",0,0,1,0,0.385078680253726,1,0,0,"UCell","WP",TRUE,"youden_dual"
"DCs","Doublet","other",12,0,4,1,2.10949841701255,17,0.764705882352941,0.874999476563001,"UCell","WP",TRUE,"youden_dual"
"DCs","HSPC","other",0,0,1,0,-0.472284200430009,1,0,0,"UCell","WP",TRUE,"youden_dual"
"DCs","MAIT","other T",0,0,3,0,-0.342338768398311,3,0,0,"UCell","WP",TRUE,"youden_dual"
"DCs","NK Proliferating","NK",0,0,1,0,-0.0101585449879753,1,0,0,"UCell","WP",TRUE,"youden_dual"
"DCs","NK_1","NK",0,0,0,1,0.343810042159113,1,1,0.4999995000005,"UCell","WP",TRUE,"youden_dual"
"DCs","NK_2","NK",0,0,1,0,0.00313604983445034,1,0,0,"UCell","WP",TRUE,"youden_dual"
"DCs","NK_CD56bright","NK",0,0,0,1,-0.151967556427184,1,1,0.4999995000005,"UCell","WP",TRUE,"youden_dual"
"DCs","Platelet","other",0,0,20,2,7.47626574255237,22,0.0909090909090909,0.499999750000125,"UCell","WP",TRUE,"youden_dual"
"DCs","Treg Memory","CD4 T",0,0,2,0,-0.680843156706814,2,0,0,"UCell","WP",TRUE,"youden_dual"
"DCs","Treg Naive","CD4 T",0,0,3,1,-0.468925930383719,4,0.25,0.4999995000005,"UCell","WP",TRUE,"youden_dual"
"DCs","cDC2_1","DC",6,0,10,0,-0.348746601536464,16,0.375,0.187499988281251,"UCell","WP",TRUE,"youden_dual"
"DCs","cDC2_2","DC",10,3,28,10,-0.450541998480833,51,0.392156862745098,0.516194298935405,"UCell","WP",TRUE,"youden_dual"
"DCs","gdT_1","other T",0,0,1,0,-0.0698457363261594,1,0,0,"UCell","WP",TRUE,"youden_dual"
"DCs","gdT_2","other T",0,0,0,2,-0.15272922592222,2,1,0.499999750000125,"UCell","WP",TRUE,"youden_dual"
"DCs","gdT_3","other T",0,0,0,1,-0.745377335740674,1,1,0.4999995000005,"UCell","WP",TRUE,"youden_dual"
"DCs","gdT_4","other T",0,0,1,0,-0.360941968792192,1,0,0,"UCell","WP",TRUE,"youden_dual"
"DCs","pDC","DC",0,0,3,0,0.0296329159041465,3,0,0,"UCell","WP",TRUE,"youden_dual"
"Early-NK-cells","CD16 Mono","Mono",0,2,1,3,-0.253985106974272,6,0.5,0.299999940000012,"UCell","WP",TRUE,"youden_dual"
